"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","","303","3.396","30.7","35.3","22.8","5.6","2.0","1.3","0.7",".",".",".",".",".","1.3",".",".","0.3"
"Global Language Issues","211
001","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"WIScholars:Wi Intntl Schlr Smr","212
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
002","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
003","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
006","","8","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","310
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
010","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
012","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
015","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","77","",".",".",".",".",".",".",".",".",".","97.4","1.3",".",".",".","1.3","."
"Soccer, Politics, and Identity","311
001","","52","3.625","42.3","42.3","13.5","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Issues-Intl St","320
001","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","","12","3.409","25.0","33.3","25.0","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"From Fascism to Today","366
002","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalizatn, Poverty&Develpmnt","373
001","","16","3.500","25.0","37.5","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","001
401","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","","14","3.786","78.6","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","Course Total","","37","3.878","86.5","8.1","2.7",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Politics&Policy in Globl Econ","001
402","","24","3.646","70.8","16.7","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"","403
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","403
005","","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","403
006","","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","403
007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culture in Age of Globalizatn","Course Total","","26","3.760","76.9","15.4",".",".",".",".","3.8",".",".",".",".",".","3.8",".",".","."
"Women's Global Health","001
535","","12","3.750","83.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
