"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","210","3.770","81.9","7.1","4.8","2.4","1.0","0.5","1.9",".",".",".",".",".",".","0.5",".","."
"Intro-Mus Cult of the World","103
001","108","3.588","66.7","8.3","15.7","1.9","4.6","1.9","0.9",".",".",".",".",".",".",".",".","."
"","210
001","8","3.563","50.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","210
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","11","3.682","72.7","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","210
004","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
210","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","17","3.824","82.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","70","3.757","71.4","18.6","4.3","1.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Global Language Issues","211
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Afro Asian Improv","319
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nordic Mythology","342
001","25","3.700","56.0","32.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Shamanism","352
001","37","3.957","86.5","8.1",".",".",".",".",".",".",".",".",".",".","2.7","2.7",".","."
"Topics American Folklore","430
001","18","3.333","50.0","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Celtic-Scand Cultrl Interrelat","446
001","15","3.643","73.3","13.3",".",".",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"Supernaturl in Modern World","451
001","23","3.804","82.6","13.0",".",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Digitally Doc Everyday Comm","522
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independ Stdy-Folklore Grad","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FOLKLORE
380","Dept. Total","528","3.730","75.4","11.7","6.1","1.7","1.9","1.3","1.1","0.2",".",".",".",".","0.2","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","77","3.494","63.6","10.4","14.3","2.6","2.6","3.9","2.6",".",".",".",".",".",".",".",".","."
"Sophomore","","157","3.752","77.1","10.2","5.7","2.5","3.2","1.3",".",".",".",".",".",".",".",".",".","."
"Junior","","147","3.752","78.9","9.5","6.1","2.0","1.4",".","2.0",".",".",".",".",".",".",".",".","."
"Senior","","137","3.807","77.4","16.1","2.2",".","0.7","1.5","0.7",".",".",".",".",".","0.7","0.7",".","."
"Undergraduates","","518","3.728","75.7","11.6","6.2","1.7","1.9","1.4","1.2",".",".",".",".",".","0.2","0.2",".","."
"Special","","5","***","","","","","","","","","",".",".",".",".","20.0",".","."
"Graduate","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","528","3.730","75.4","11.7","6.1","1.7","1.9","1.3","1.1","0.2",".",".",".",".","0.2","0.4",".","."
