"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"100","101","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","102","","31","3.823","83.9","6.5","3.2","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Biochemistry Freshman Seminar","Course Total","","60","3.892","88.3","6.7","1.7","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"104
Molecules to Life & Science","001","","90","3.955","92.2","4.4","2.2",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"299","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","001","","324","3.531","56.5","18.8","11.4","4.0","7.7","1.5",".",".",".",".",".",".",".",".",".","."
"501","002","","287","3.543","55.1","17.1","13.9","2.8","7.3","1.0",".","1.7",".",".",".",".","1.0",".",".","."
"Introduction-Biochemistry","Course Total","","611","3.536","55.8","18.0","12.6","3.4","7.5","1.3",".","0.8",".",".",".",".","0.5",".",".","."
"507
General Biochemistry I","001","","136","3.034","26.5","14.0","22.8","19.1","10.3","2.9","1.5","0.7",".",".",".",".","2.2",".",".","."
"508
General Biochemistry II","001","","43","3.167","44.2","14.0","11.6","4.7","16.3","4.7","2.3",".",".",".",".",".",".",".",".","2.3"
"510
Nutr Biochm & Mtblsm","001","","51","3.716","76.5","7.8","9.8","2.0","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"551
Biochemical Methods","001","","82","3.659","51.2","32.9","12.2","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"601
Protein&Enzyme Struct&Funct","001","","26","3.400","23.1","42.3","19.2","11.5",".",".",".","3.8",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Plant Genetics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"645
Mol Ctrl of Mtblsm & Mtblc Dis","001","","24","3.646","58.3","12.5","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","",".",".",".",".",".",".",".",".",".",".",".","83.3",".","16.7",".","."
"691","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 13 of 467"
