"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"880
Topics in Mass Communication","054","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","9","",".",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","11.1"
"999
Independent Research","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LSC
120","Dept. Total","","1115","3.645","63.0","19.1","9.7","3.0","2.1","0.6","1.3","0.7",".",".",".",".","0.1","0.1","0.1","0.2"
