"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","189","3.710","67.2","20.6","5.8","1.1","3.2","1.6",".",".",".",".",".",".",".","0.5",".","."
"299
Independent Reading","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"313
Foundations of Nrsg Practice","001","","157","3.236","7.6","43.3","37.6","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"314","001","","159","3.893","79.2","20.1","0.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"314","003","","48","3.802","60.4","39.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Promo Dz Prev Acrs Lfspn","Course Total","","207","3.872","74.9","24.6","0.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"315","001","","79","3.867","79.7","15.2","3.8","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"315","002","","80","3.888","80.0","17.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in a Nrsg Practice","Course Total","","159","3.877","79.9","16.4","3.1","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"316
Found of Nrsg Pract: Exp Lrng","001","","157","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"317
Pharmacology for Nrsg Practice","001","","161","3.314","28.6","34.2","16.1","13.7","7.5",".",".",".",".",".",".",".",".",".",".","."
"323
Hlth & Ill Indiv Fam","003","","48","3.219","12.5","39.6","29.2","16.7","2.1",".",".",".",".",".",".",".",".",".",".","."
"324
Mtg Psychosocial Hlth Needs","003","","47","3.670","38.3","57.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"326
Hlth Ill Indiv Fam Exp Lrng I","003","","48","",".",".",".",".",".",".",".",".",".","97.9","2.1",".",".",".",".","."
"327
Hlt Ill Indiv Fam Exp Lrng II","003","","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"434","001","","152","3.217","7.2","39.5","43.4","9.2","0.7",".",".",".",".",".",".",".",".",".",".","."
"434","003","","47","3.309","4.3","57.4","34.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty","Course Total","","199","3.235","6.5","43.7","41.2","8.0","0.5",".",".",".",".",".",".",".",".",".",".","."
"435
Evidence-Based Practice","001","","153","3.997","99.3","0.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"436","001","","84","",".",".",".",".",".",".",".",".",".","98.8",".",".",".",".",".","."
"436","002","","59","",".",".",".",".",".",".",".",".",".","96.6",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","Course Total","","143","",".",".",".",".",".",".",".",".",".","97.9",".",".",".",".",".","."
"437
Soc Justice in Loc & Glb Stgs","001","","153","3.938","90.2","7.8","1.3","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"446
Adv Cnpts in Cplx Nrsg Prc: EL","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"470","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"470","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"470","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","","6","3.406","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 443 of 467",""
