"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","125
021","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
022","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
024","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
026","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","027
125","19","2.632","21.1","5.3","26.3","15.8","15.8","10.5","5.3",".",".",".",".",".",".",".",".","."
"","125
028","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
029","21","3.905","90.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","125
030","19","3.711","89.5",".",".","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","032
125","19","3.737","89.5",".","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","125
033","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
034","16","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Wisconsin Experience Seminar","Course Total","568","3.821","82.6","6.2","3.3","1.6","1.4","0.7","0.9",".",".",".",".",".","0.2","0.2","3.0","."
"Intersectionalities","225
001","240","3.807","77.9","12.1","3.8","2.5","0.8","1.3",".","1.7",".",".",".",".",".",".",".","."
"Race and the Developing Child","230
001","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth &Diverse Community","237
001","204","3.907","92.2","3.9","2.0","1.0",".",".","1.0",".",".",".",".",".",".",".",".","."
"","300
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
010","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Couns./Couns. Psych","Course Total","36","3.980","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","325
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latinx Foundational Practicum","575
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Community-Engaged Scholarship","601
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
005","45","3.955","91.1","4.4","2.2",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","53","3.942","90.6","3.8","3.8",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Clinical Communication Skills","655
001","110","3.809","80.0","12.7","2.7","1.8","1.8",".","0.9",".",".",".",".",".",".",".",".","."
"","699
038","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Activities","700
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Counseling Orient","730
001","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"Fndtns Clin Mental Hlth Counsl","791
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories of Counseling","800
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Helping Relations & Techniques","805
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supv Internship in Counseling","808
001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"Prof Dev & Clinical Prac","810
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","32","3.935","84.4","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","3.1"
