"ALS","","","","","","","","","","","","","","","","","","","","",""
"GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","",""
"GENETICS
412","Dept. Total","1134","3.459","52.1","14.1","11.6","3.9","5.9","1.9","0.8","7.1","",".",".","",".","1.7","0.9",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","120","3.593","73.3","10.0","9.2","1.7","0.8","2.5","2.5",".","",".",".","",".",".",".",".",".","."
"Sophomore","","178","3.460","64.6","12.4","10.1","2.8","6.7","1.7","1.1",".","",".",".","",".",".",".",".","0.6","."
"Junior","","229","3.279","46.7","15.3","14.4","8.3","10.9","3.1","0.9",".","",".",".","",".",".",".",".","0.4","."
"Senior","","403","3.498","57.3","15.6","13.9","4.0","6.7","2.0","0.2",".","",".",".","",".","0.2",".",".",".","."
"Undergraduates","","930","3.441","58.2","14.2","12.7","4.5","7.0","2.3","0.9",".","",".",".","",".","0.1",".",".","0.2","."
"Special","","59","3.621","44.1","18.6","8.5","1.7","1.7",".","1.7","6.8","",".",".","",".",".","16.9",".",".","."
"Graduate","","141","3.600","16.3","11.3","5.7","0.7","0.7",".",".","52.5","",".",".","",".","12.8",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1134","3.459","52.1","14.1","11.6","3.9","5.9","1.9","0.8","7.1","",".",".","",".","1.7","0.9",".","0.2","."
