"Narrative Med & Public Health","740","008","","12","",".",".",".",".","",".","",".",".","100.0","",".","",".",".","",".","",".","",".",".","."
"Ethics & U.S. Health Policy","742","006","","8","",".",".",".",".","",".","",".",".","100.0","",".","",".",".","",".","",".","",".",".","."
"Migration and Global Health","750","001","","23","",".",".",".",".","",".","",".",".","100.0","",".","",".",".","",".","",".","",".",".","."
"MED HIST
452","","Dept. Total","","101","3.605","22.8","14.9","2.0","3.0","",".","",".","1.0","56.4","","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","","7","3.500","28.6","57.1",".","14.3","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","","6","3.250","16.7","50.0",".","33.3","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","","17","3.618","64.7","29.4",".",".","",".","",".","5.9","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","","12","3.875","75.0","16.7","8.3",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","","42","3.611","54.8","33.3","2.4","7.1","",".","",".","2.4","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","","","","8","",".",".",".",".","",".","",".",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","","39","",".",".",".",".","",".","",".",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Professionals","","","","55","",".",".",".",".","",".","",".",".","100.0","","",".",".","",".","",".","",".",".",".","."
