"GERMAN, NORDIC, AND SLAVIC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","",""
"270","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"270","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in GNS","Course Total","","6","3.083","50.0","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"331
First Semester Kazakh","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"339
First Semester Turkish","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Topics in GNS","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"439
Third Semester Turkish","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"471","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"471","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"471","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Tpcs in E Eu & Cen As L&C","Course Total","","5","***","","","","","","","","","","","","","","","",""
"539
Fifth Semester Turkish & Azeri","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"GNS
425","Dept. Total","","26","3.512","53.8","19.2","15.4","3.8",".",".","3.8","3.8",".",".",".",".",".",".",".","."
