"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","420","3.041","20.0","32.6","14.8","14.0","12.1","5.5","0.7","0.2",".",".",".",".",".",".",".","."
"","002
101","429","3.409","43.8","24.7","18.2","4.4","5.4","2.8","0.7",".",".",".",".",".",".",".",".","."
"","101
003","429","3.449","46.9","22.6","17.0","5.4","5.6","1.9","0.5",".",".",".",".",".",".",".","0.2","."
"","101
004","428","3.133","21.5","25.2","30.8","11.2","7.9","1.9","1.2",".",".",".",".",".",".",".","0.2","."
"","005
101","9","2.722","22.2","11.1","22.2","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1715","3.256","33.1","26.2","20.2","8.8","7.8","3.0","0.8","0.1",".",".",".",".",".",".","0.1","."
"","001
102","173","2.939","15.6","22.0","17.9","29.5","12.1","2.9",".",".",".",".",".",".",".",".",".","."
"","102
002","331","3.094","18.4","23.0","27.8","21.1","8.5","0.3","0.3",".",".",".",".",".","0.6",".",".","."
"","102
003","237","3.080","24.5","18.6","24.5","16.9","13.9","1.7",".",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","741","3.053","19.7","21.3","24.4","21.7","11.1","1.3","0.1",".",".",".",".",".","0.3",".",".","."
"Prin/Econ-Accelratd Treatmt","111
001","31","3.839","74.2","19.4","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Tools for Economics","205
001","39","3.128","25.6","28.2","20.5","12.8","7.7","2.6","2.6",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","16","2.500","6.3","31.3","6.3","18.8","18.8","12.5","6.3",".",".",".",".",".",".",".",".","."
"","300
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","6","2.250","33.3",".",".","16.7","16.7","16.7","16.7",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","31","2.387","12.9","22.6","6.5","16.1","16.1","16.1","9.7",".",".",".",".",".",".",".",".","."
"","301
001","185","2.797","18.4","13.0","22.7","22.2","16.8","3.8","3.2",".",".",".",".",".",".",".",".","."
"","301
002","249","3.225","26.5","21.7","33.7","12.9","3.6",".","1.6",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","434","3.043","23.0","18.0","29.0","16.8","9.2","1.6","2.3",".",".",".",".",".",".",".",".","."
"","001
302","188","3.500","37.8","29.3","30.9","1.6",".",".","0.5",".",".",".",".",".",".",".",".","."
"","002
302","139","2.964","11.5","32.4","25.9","15.1","8.6","4.3","2.2",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","327","3.272","26.6","30.6","28.7","7.3","3.7","1.8","1.2",".",".",".",".",".",".",".",".","."
"The Real Estate Process","001
306","32","3.484","25.0","46.9","21.9","3.1",".",".",".",".",".",".",".",".",".","3.1",".","."
"","310
001","128","3.067","26.6","19.5","24.2","15.6","6.3","3.1","3.1",".",".",".",".",".","1.6",".",".","."
"","310
002","151","2.983","23.2","18.5","20.5","15.2","18.5","4.0",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","279","3.022","24.7","19.0","22.2","15.4","12.9","3.6","1.4",".",".",".",".",".","0.7",".",".","."
"Intmed Microecon-Adv Treatment","311
001","35","3.629","51.4","22.9","25.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","6","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","87","2.874","19.5","20.7","11.5","29.9","11.5","4.6","2.3",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390
001","41","3.415","53.7","26.8","4.9","2.4","4.9","2.4","4.9",".",".",".",".",".",".",".",".","."
"Intro Applied Econometrics","400
001","135","2.989","21.5","23.7","19.3","17.0","11.9","3.7","2.2",".",".",".",".",".","0.7",".",".","."
"Introductory Econometrics","410
001","90","3.100","23.3","25.6","25.6","12.2","8.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"","420
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","420
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","420
003","26","3.231","23.1","23.1","34.6","15.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","29","3.207","24.1","20.7","34.5","13.8","6.9",".",".",".",".",".",".",".",".",".",".","."
