"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","105","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","108","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","","65","3.941","93.8","1.5","3.1",".",".",".",".",".",".",".",".",".",".",".","1.5","."
"750
Problems in Oceanography","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Foundations of Evolution","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"955
Seminar-Limnology","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"956
Seminar-Ecology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"962
Seminar-Ethology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 365 of 467",""
