"L&S","","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","",""
"The World of Sagas","235","002","","25","3.250","40.0","24.0","16.0","8.0",".",".","8.0",".",".",".",".",".","4.0",".",".","."
"Lt Trn:Boccaccios Decameron","255","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Nordic Mythology","342","001","","16","3.469","43.8","37.5","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"Introductory Old Norse","407","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Medieval Romance","425","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Celtic-Scand Cultrl Interrelat","446","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MEDIEVAL
633","","Dept. Total","","51","3.410","43.1","31.4","11.8","5.9",".","2.0","3.9",".",".",".",".",".","2.0",".",".","."
