"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","",""
"Legacy of Greece & Rome","100
001","23","3.783","87.0","8.7",".",".",".",".","4.3",".",".","",".",".","",".","",".",".",".","."
"Ancient Monsters","150
001","91","3.650","44.0","44.0","7.7","3.3",".",".",".",".",".","",".",".","",".","","1.1",".",".","."
"Intro to Biblical Lit","227
001","22","2.676","18.2","9.1","9.1","13.6","13.6","13.6",".","18.2",".","",".",".","",".","",".","4.5",".","."
"Art&Archaeology-Ancient Greece","300
001","48","3.681","52.1","4.2","14.6","2.1","2.1",".",".","25.0",".","",".",".","",".","",".",".",".","."
"The Greeks","320
001","163","3.641","70.6","13.5","5.5","5.5","1.8","0.6","2.5",".",".","",".",".","",".","",".",".",".","."
"Women in the Classical World","351
001","48","3.698","66.7","20.8","8.3","2.1",".",".","2.1",".",".","",".",".","",".","",".",".",".","."
"","699
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
022","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Reading","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"Classical Literature & Culture","970
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"CLASSICS
244","Dept. Total","406","3.610","59.6","20.4","7.1","4.2","1.7","1.0","1.5","3.9","",".",".","",".","",".","0.2","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","62","3.603","48.4","38.7","8.1","1.6","1.6",".","1.6",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","132","3.668","65.2","21.2","6.1","3.8","0.8","1.5","0.8",".","",".",".","",".","",".","0.8",".",".","."
"Junior","","100","3.485","61.0","15.0","9.0","7.0","4.0","2.0","2.0",".","",".",".","",".","",".",".",".",".","."
"Senior","","85","3.659","70.6","12.9","8.2","4.7","1.2",".","2.4",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","379","3.606","62.5","20.6","7.7","4.5","1.8","1.1","1.6",".","",".",".","",".","",".","0.3",".",".","."
"Special","","17","",".",".",".",".",".",".",".","94.1","",".",".","",".","",".",".","5.9",".","."
"Graduate","","10","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","406","3.610","59.6","20.4","7.1","4.2","1.7","1.0","1.5","3.9","",".",".","",".","",".","0.2","0.2",".","."
