"Summary by Level","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","19","4.000","94.7",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","5.3","."
"Senior","","24","3.978","91.7","4.2","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","4.2","."
"Undergraduates","","49","3.988","93.9","2.0","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","4.1","."
"Graduate","","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","","15","4.000","46.7",".","",".","",".","",".","",".","",".","53.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","48","",".",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","66","4.000","12.1",".","",".","",".","",".","",".","",".","87.9","",".",".","",".","",".","",".",".",".","."
