"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","6204","3.260","42.1","17.8","15.8","9.0","7.4","3.8","1.8","1.1","",".",".","",".","0.5","0.6","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1664","2.989","30.6","17.5","17.2","12.9","11.3","6.9","3.2",".","",".",".","",".",".","0.3",".",".","0.1"
"Sophomore","","1362","3.268","41.8","18.4","16.8","10.4","6.9","3.5","1.8","0.1","",".",".","",".",".","0.4",".",".","."
"Junior","","1245","3.249","38.0","20.6","18.8","9.5","7.6","3.6","1.0","0.1","",".",".","",".",".","0.6",".","0.1","0.1"
"Senior","","1655","3.476","53.8","17.8","13.5","4.9","4.8","1.8","1.1","0.1","",".",".","",".","1.2","0.9","0.1",".","."
"Undergraduates","","5926","3.248","41.2","18.5","16.4","9.4","7.7","4.0","1.8","0.1","",".",".","",".","0.3","0.6","0.0","0.0","0.0"
"Special","","54","3.235","29.6","3.7","9.3","1.9","5.6",".","3.7","44.4","",".",".","",".",".",".",".","1.9","."
"Graduate","","223","3.881","68.2","4.0","1.8","1.3",".",".",".","17.9","",".",".","",".","4.0","2.7",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".","100.0",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".","100.0",".",".",".","."
"","Dept. Total","6204","3.260","42.1","17.8","15.8","9.0","7.4","3.8","1.8","1.1","",".",".","",".","0.5","0.6","0.0","0.0","0.0"
