"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
001","96","3.974","95.8","3.1","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro African Lit","201
001","21","3.738","66.7","14.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro African Cultural Studies","Course Total","37","3.946","89.2","10.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","19","3.912","73.7","15.8",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"","203
002","22","3.667","54.5","27.3","4.5","9.1",".",".",".",".",".",".",".",".","4.5",".",".","."
"Intro Topics in African Lit","Course Total","41","3.776","63.4","22.0","2.4","4.9",".",".",".",".",".",".",".",".","7.3",".",".","."
"Intro Topics African Languages","204
001","19","3.842","84.2",".","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","28","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","29","3.569","62.1","17.2",".","13.8","6.9",".",".",".",".",".",".",".",".",".",".","."
"","210
004","28","3.750","75.0","14.3","3.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","210
005","29","3.625","72.4","6.9","3.4","10.3",".",".","3.4",".",".",".",".",".","3.4",".",".","."
"","210
006","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","147","3.753","76.2","11.6","3.4","4.8","2.7",".","0.7",".",".",".",".",".","0.7",".",".","."
"Intro to Afr Pop Culture","212
001","24","3.783","87.5",".","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","4.2"
"Intro-Yoruba Life & Culture","230
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Arabic Literary Culture","231
001","19","3.368","36.8","26.3","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Global HipHop & Social Justice","233
001","11","3.045","45.5","27.3","9.1",".",".",".","18.2",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","15","3.433","40.0","40.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"African Lit and Visual Culture","303
001","23","3.848","87.0","4.3",".","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","9","3.333","55.6","22.2","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","321
002","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","30","3.667","70.0","13.3","13.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","323
001","12","3.500","33.3","25.0","33.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","323
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Arabic","Course Total","17","3.500","35.3","23.5","35.3",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Fifth Semester Arabic","329
001","6","3.250","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"First Semester Swahili","331
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem-Lang-South Africa","335
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yoruba","Course Total","7","3.083","28.6","42.9",".",".",".",".","14.3",".",".",".",".",".","14.3",".",".","."
"","373
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","373
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Yoruba","Course Total","4","***","","","","","","","","","","","","","","","",""
"Contemp Afrcn&Caribbn Drama","413
001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
