"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","8","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","11","3.950","90.9",".","9.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","37","3.941","94.6","2.7","2.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","56","3.949","94.6","1.8","3.6",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","16","3.500","12.5","6.3",".","6.3","",".","",".","",".","75.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
