"CIVIL SOC & COMMUNITY STUDI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","","",""
"Community and Social Change","125","001","","91","3.456","65.9","13.2","3.3","4.4","3.3","4.4","4.4",".",".",".",".",".",".",".",".","1.1"
"CNPL Leadership Symposium","254","001","","46","3.804","78.3","13.0","6.5",".",".","2.2",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonprofit Sector: Overview","300","001","","81","3.685","63.0","29.6","2.5","1.2","1.2",".","2.5",".",".",".",".",".",".",".",".","."
"American Indian Communities","330","001","","53","3.394","54.7","18.9","5.7","5.7","7.5","1.9","3.8","1.9",".",".",".",".",".",".",".","."
"Communicating-Key Audiences","335","001","","44","3.875","88.6","4.5","2.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Evaluation and Planning","345","001","","20","3.425","65.0","15.0","5.0",".","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Philanthropy & Civic Engagemnt","400","001","","37","3.889","83.8","5.4","8.1",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Entrepreneurialism and Society","455","001","","45","3.651","55.6","26.7","8.9",".","2.2","2.2",".","4.4",".",".",".",".",".",".",".","."
"","501","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","003","","30","3.500","53.3","26.7","6.7",".",".",".","6.7","3.3",".",".",".",".","3.3",".",".","."
"","501","004","","12","3.955","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","43","3.634","62.8","20.9","4.7",".",".",".","4.7","4.7",".",".",".",".","2.3",".",".","."
"Community Based Resrch & Eval","570","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","159","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"Nonprofit Brd Leadrship Devp I","742","001","","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Mixed-Methods Comm Research","812","001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Study","999","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
