"LIBRARY & INFORMATION STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","620
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","622
001","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","632
001","","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
632","","7","3.667","57.1",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Metadata Standards and XML","Course Total","","18","3.794","77.8",".","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","5.6"
"","635
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogical Theory & Practice","639
001","","16","3.833","75.0","12.5",".","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"","640
001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","","26","3.885","80.8","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
644","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","644
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","646
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
002","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Info Architecture","Course Total","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Books Print Cult Europe No Am","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Services Management","Course Total","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","655
002","","17","2.882","29.4","29.4","5.9","17.6",".","5.9","11.8",".",".",".",".",".",".",".",".","."
"Collection Management","Course Total","","20","2.974","30.0","30.0","5.0","15.0",".","5.0","10.0",".",".",".",".",".","5.0",".",".","."
"","668
001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","668
002","","18","3.676","50.0","33.3","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"Dig Curation and Collections","Course Total","","28","3.704","53.6","32.1","7.1","3.6",".",".",".","3.6",".",".",".",".",".",".",".","."
"Concepts and Tools for Data An","677
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Mining Planning and Mgmt","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","707
001","","21","3.775","57.1","33.3","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","707
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Vis for Decision Making","Course Total","","23","3.795","60.9","30.4","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","712
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","712
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
