"OPERATIONS & TECHNOLOGY M Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","119","2.983","17.6","19.3","32.8","12.6","12.6","5.0",".",".",".",".",".",".",".",".",".","."
"","300
002","137","2.920","16.8","15.3","32.8","12.4","19.0","3.6",".",".",".",".",".",".",".",".",".","."
"","003
300","135","2.917","17.8","14.8","33.3","8.9","18.5","5.2",".",".",".",".",".",".","1.5",".",".","."
"","300
100","20","2.395","5.0","10.0","40.0","5.0","15.0","10.0","10.0",".",".",".",".",".",".",".",".","5.0"
"","300
150","20","3.306","40.0","15.0","20.0","10.0",".",".","5.0","5.0",".",".",".",".","5.0",".",".","."
"Operations Management","Course Total","431","2.930","17.9","16.0","32.7","10.9","16.0","4.6","0.7","0.2",".",".",".",".","0.7",".",".","0.2"
"Principles & Tech-Qual Mgmt","351
001","48","3.875","77.1","20.8","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","421
001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
421","22","3.659","50.0","31.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","37","3.743","62.2","24.3","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","451
001","43","3.267","30.2","23.3","30.2","7.0","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"","451
002","38","3.355","23.7","34.2","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","Course Total","81","3.309","27.2","28.4","30.9","8.6","3.7","1.2",".",".",".",".",".",".",".",".",".","."
"Project Management","452
001","29","3.724","58.6","27.6","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
020","35","3.429","34.3","17.1","48.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
021","36","3.486","44.4","16.7","30.6","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","62","3.581","35.5","45.2","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","133","3.515","37.6","30.1","30.1","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Strategy","040
702","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","31","3.839","67.7","32.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Strategy","726
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","29","3.750","58.6","17.2","13.8",".",".",".",".",".",".",".",".",".","10.3",".",".","."
"","752
001","48","3.490","27.1","50.0","18.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","752
010","62","3.742","61.3","27.4","9.7","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","752
011","62","3.790","66.1","25.8","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","172","3.618","53.5","33.1","11.6","1.2","0.6",".",".",".",".",".",".",".",".",".",".","."
"Healthcare Ops Mgt","753
055","20","3.475","40.0","25.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Managing by Design","001
760","30","3.550","46.7","23.3","23.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
149","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
