"L&S","","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","7299","3.077","32.8","12.3","21.9","9.0","13.6","3.4","1.1","5.0","",".",".","",".","0.4","0.3","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1709","2.880","21.5","13.5","26.6","12.4","18.1","5.9","1.6",".","",".",".","",".",".","0.4",".",".","."
"Sophomore","","2273","3.138","34.6","14.0","22.9","9.5","13.8","3.9","1.1",".","",".",".","",".",".","0.2",".",".","0.0"
"Junior","","1484","3.082","33.1","11.3","25.4","9.6","16.5","2.5","1.0",".","",".",".","",".",".","0.5","0.1",".","."
"Senior","","895","3.107","36.1","13.1","23.0","9.5","13.0","2.6","1.5",".","",".",".","",".","0.9","0.3",".","0.1","."
"Undergraduates","","6361","3.045","30.9","13.1","24.5","10.3","15.5","3.9","1.3",".","",".",".","",".","0.1","0.3","0.0","0.0","0.0"
"Special","","30","3.128","33.3","3.3","26.7","6.7","16.7","3.3",".","10.0","",".",".","",".",".",".",".",".","."
"Graduate","","1122","3.799","52.9","5.4","3.0","0.1","0.2",".",".","32.4","",".",".","",".","2.1","0.1",".","3.7","."
"Prof Yr 3","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","7516","3.077","34.2","11.9","21.3","8.8","13.2","3.3","1.1","4.9","",".",".","",".","0.4","0.3","0.0","0.6","0.0"
