"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","261","3.222","22.6","37.9","21.5","11.1","1.9","3.1","1.9",".",".",".",".",".",".",".",".","."
"","002
300","253","3.251","28.1","31.2","20.2","11.1","6.3","2.8","0.4",".",".",".",".",".",".",".",".","."
"","300
003","242","3.099","20.2","31.4","23.1","14.0","5.8","2.9","2.5",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","756","3.192","23.7","33.6","21.6","12.0","4.6","2.9","1.6",".",".",".",".",".",".",".",".","."
"","305
001","49","3.643","55.1","32.7","4.1","6.1",".","2.0",".",".",".",".",".",".",".",".",".","."
"","305
002","27","3.537","33.3","40.7","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","48","3.500","43.8","20.8","18.8",".","8.3",".",".","6.3",".",".",".",".",".",".","2.1","."
"","305
100","36","3.347","44.4","11.1","22.2","13.9","8.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","160","3.516","45.6","25.6","16.3","5.0","4.4","0.6",".","1.9",".",".",".",".",".",".","0.6","."
"","310
001","49","3.500","26.5","51.0","18.4","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","22","3.477","27.3","45.5","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
310","47","3.223","10.6","38.3","38.3","10.6","2.1",".",".",".",".",".",".",".",".",".",".","."
"","310
004","50","3.300","26.0","32.0","24.0","12.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","168","3.360","22.0","41.1","26.2","8.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","335
001","48","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","47","3.968","95.7","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
003","47","3.936","93.6","2.1","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","142","3.961","95.1","2.8","1.4","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
002","27","3.778","63.0","33.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","355
003","48","3.833","68.8","29.2","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
005","47","3.967","91.5","6.4",".",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Marketing in a Digital Age","Course Total","171","3.909","83.0","15.2","0.6","0.6",".",".",".",".",".",".",".",".","0.6",".",".","."
"Sports Marketing","410
001","48","3.229","22.9","29.2","25.0","16.7","6.3",".",".",".",".",".",".",".",".",".",".","."
"","415
001","28","3.500","50.0","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","415
002","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","43","3.488","44.2","23.3","23.3","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","16","3.531","31.3","50.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","35","3.843","74.3","20.0","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","34","3.824","79.4","11.8","5.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","69","3.833","76.8","15.9","5.8",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","422
001","29","3.672","48.3","37.9","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","41","3.744","58.5","34.1","4.9","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","70","3.714","54.3","35.7","8.6","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","001
423","45","3.578","37.8","40.0","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Strategy and Management","424
001","32","3.469","40.6","37.5","12.5",".","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","430
001","21","3.500","42.9","28.6","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"New Product Innovation","437
001","21","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","45","3.767","68.9","22.2","2.2","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","40","3.725","62.5","25.0","7.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","21","3.500","23.8","52.4","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
