"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"301
Intro to Sci & Technol of Food","001","","19","2.882","5.3","26.3","31.6","5.3","15.8","5.3",".","10.5",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"324","003","","10","2.800","20.0","10.0","20.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".","."
"324","004","","8","3.063","37.5",".","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","","18","2.917","27.8","5.6","27.8","11.1","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"325
Food Microbiology","001","","30","2.917","33.3","3.3","23.3","13.3","20.0","3.3","3.3",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Food Chemistry","001","","25","2.780","28.0","8.0","24.0","4.0","20.0","16.0",".",".",".",".",".",".",".",".",".","."
"437
Food Service Operations","002","","35","3.886","77.1","22.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Principles of Food Engr","001","","19","2.316","10.5","10.5","15.8","21.1","21.1","10.5","10.5",".",".",".",".",".",".",".",".","."
"532
Integrated Food Manufacturing","001","","19","2.974","10.5","15.8","47.4","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"535
Confectionery Science&Technlgy","001","","11","3.350","9.1","45.5","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"551
Food Fermentation Laboratory","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"602
Senior Project","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","028","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","38","",".",".",".",".",".",".",".","92.1",".",".",".","7.9",".",".",".","."
