"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","227","3.779","68.3","22.9","6.2","0.9","0.9","0.4",".","0.4",".",".",".",".",".",".",".","."
"","306
002","48","3.938","93.8","2.1","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","275","3.807","72.7","19.3","5.5","1.1","0.7","0.4",".","0.4",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","7","3.429","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
002","18","3.389","44.4","16.7","22.2","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","410
003","59","3.432","30.5","32.2","30.5","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"","410
004","31","3.097","19.4","29.0","25.8","9.7","12.9","3.2",".",".",".",".",".",".",".",".",".","."
"","005
410","54","3.321","27.8","20.4","38.9","9.3","1.9",".",".",".",".",".",".",".","1.9",".",".","."
"Real Estate Finance","Course Total","162","3.326","29.0","25.9","31.5","8.0","4.3","0.6",".",".",".",".",".",".","0.6",".",".","."
"","415
001","41","3.313","29.3","22.0","39.0",".","4.9","2.4",".",".",".",".",".",".","2.4",".",".","."
"","415
002","38","3.329","31.6","15.8","42.1","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"","415
003","37","3.311","32.4","18.9","32.4","10.8","5.4",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","116","3.317","31.0","19.0","37.9","6.0","4.3","0.9",".",".",".",".",".",".","0.9",".",".","."
"","420
001","53","3.491","35.8","35.8","20.8","5.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"","420
002","55","3.555","34.5","47.3","12.7","5.5",".",".",".",".",".",".",".",".",".",".",".","."
"","420
003","32","3.500","40.6","21.9","28.1","6.3",".",".",".",".",".",".",".",".","3.1",".",".","."
"Urban & Regional Economics","Course Total","140","3.518","36.4","37.1","19.3","5.7","0.7",".",".",".",".",".",".",".","0.7",".",".","."
"","425
001","39","3.769","71.8","17.9","5.1","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","425
002","40","3.800","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","425
003","40","3.738","62.5","25.0","10.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","119","3.769","68.1","22.7","5.0","3.4","0.8",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","22","3.976","90.9","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Excel Modeling","631
002","84","3.524","34.5","38.1","25.0","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"ARGUS Modeling","632
002","67","3.597","43.3","40.3","9.0","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Capital Markets","640
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","34","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","23","3.652","52.2","26.1","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
710","14","3.571","42.9","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","37","3.622","48.6","29.7","18.9","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
001","45","3.878","82.2","11.1","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
002","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","Course Total","55","3.845","74.5","20.0","5.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","15","3.533","40.0","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Real Estate Finance","770
001","10","3.350",".","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied RE Investment I","841
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Private RE Equity Investment 2","851
001","22","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Research Seminar","978
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
