"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","",""
"The American Jewish Experience","219
001","27","3.712","63.0","22.2","3.7","3.7","3.7",".",".",".",".","",".",".","",".","","3.7",".",".","."
"Intro to Biblical Lit","227
001","13","2.654","23.1","23.1",".","15.4","23.1","7.7","7.7",".",".","",".",".","",".","",".",".",".","."
"Yiddish Lit & Culture, Europe","269
001","17","3.588","76.5","11.8",".",".","5.9",".","5.9",".",".","",".",".","",".","",".",".",".","."
"","430
001","44","3.561","59.1","13.6","4.5","9.1","4.5","2.3",".","6.8",".","",".",".","",".","",".",".",".","."
"","430
003","37","3.892","81.1","16.2","2.7",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Intmed Topics in Jewish Lit","Course Total","81","3.718","69.1","14.8","3.7","4.9","2.5","1.2",".","3.7","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","681
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","699
002","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"JEWISH
510","Dept. Total","140","3.579","64.3","16.4","2.9","5.0","5.0","1.4","1.4","2.1","",".",".","",".","",".","0.7",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","3.023","50.0","16.7",".",".","16.7","16.7",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","57","3.699","68.4","17.5","5.3",".","5.3","1.8",".",".","",".",".","",".","",".","1.8",".",".","."
"Junior","","36","3.645","75.0","13.9","2.8","2.8","2.8",".","2.8",".","",".",".","",".","",".",".",".",".","."
"Senior","","37","3.414","54.1","18.9",".","16.2","5.4",".","2.7",".","",".",".","",".","",".",".",".","2.7","."
"Undergraduates","","136","3.576","65.4","16.9","2.9","5.1","5.1","1.5","1.5",".","",".",".","",".","",".","0.7",".","0.7","."
"Special","","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","140","3.579","64.3","16.4","2.9","5.0","5.0","1.4","1.4","2.1","",".",".","",".","",".","0.7",".","0.7","."
