"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","22","3.425","54.5","13.6","9.1",".","9.1",".","4.5","4.5",".",".",".",".",".","4.5",".","."
"","101
002","19","3.079","47.4","10.5","15.8","5.3","10.5",".","10.5",".",".",".",".",".",".",".",".","."
"","101
003","24","3.587","58.3","25.0",".","4.2","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"","101
004","22","3.432","36.4","40.9","4.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","101
005","19","3.632","57.9","21.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","19","3.368","31.6","21.1","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","125","3.426","48.0","22.4","12.0","6.4","5.6","0.8","2.4","1.6",".",".",".",".",".","0.8",".","."
"","102
001","11","3.273","45.5","18.2",".","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
002","19","3.579","68.4","10.5","10.5",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","102
003","19","3.395","36.8","36.8","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".",".","."
"","004
102","14","3.615","57.1","14.3","14.3",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","63","3.476","52.4","20.6","9.5","6.3","6.3","3.2",".","1.6",".",".",".",".",".",".",".","."
"","203
001","21","3.738","76.2","4.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
203","17","3.125","11.8","23.5","41.2","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","203
003","21","3.738","61.9","33.3",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
004","21","3.524","42.9","28.6","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","005
203","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","91","3.556","47.3","26.4","17.6","4.4","3.3",".",".","1.1",".",".",".",".",".",".",".","."
"","204
001","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","22","3.750","54.5","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","17","3.441","58.8","5.9","11.8","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","76","3.750","69.7","18.4","6.6","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","227
001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","30","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
001","25","3.500","40.0","36.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","228
002","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","16","3.733","62.5","25.0",".",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","57","3.652","56.1","26.3","8.8","3.5","3.5",".",".","1.8",".",".",".",".",".",".",".","."
"","271
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
271","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","44","3.875","79.5","15.9","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","285
002","9","3.056","44.4","11.1","22.2",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"","012
285","33","3.470","42.4","30.3","18.2","3.0","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Rebellious Women","Course Total","42","3.359","42.9","26.2","19.0","2.4","4.8","2.4","2.4",".",".",".",".",".",".",".",".","."
"Doctors without Borders","288
001","81","3.854","85.2","7.4","1.2","1.2","1.2",".","1.2","1.2",".",".",".",".",".","1.2",".","."
"Adv Composition & Conversation","311
002","29","3.793","65.5","31.0",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","001
321","16","3.594","62.5","18.8","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
