"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","29","4.000","89.7",".",".",".",".",".",".",".",".",".",".",".","10.3",".",".","."
"","203
001","72","3.229","27.8","27.8","26.4","9.7","5.6",".","2.8",".",".",".",".",".",".",".",".","."
"","203
002","79","3.571","51.9","24.1","17.7",".","3.8",".","1.3","1.3",".",".",".",".",".",".",".","."
"Signals, Information & Comp","Course Total","151","3.407","40.4","25.8","21.9","4.6","4.6",".","2.0","0.7",".",".",".",".",".",".",".","."
"","204
001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
204","64","3.664","48.4","40.6","6.3","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science & Engineering","Course Total","75","3.673","48.0","42.7","5.3","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","96","3.995","99.0","1.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","94","3.995","98.9","1.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","190","3.995","98.9","1.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","112","3.960","93.8","4.5","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","68","3.176","36.8","11.8","20.6","17.6","11.8",".","1.5",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","104","2.861","24.0","16.3","20.2","11.5","15.4","12.5",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","40","3.167","37.5","17.5","5.0","25.0","10.0",".","2.5",".",".",".",".",".","2.5",".",".","."
"Intro to Computer Engineering","252
001","130","3.388","40.8","26.2","16.9","8.5","4.6","3.1",".",".",".",".",".",".",".",".",".","."
"","270
001","56","3.773","69.6","17.9","5.4","5.4",".",".",".",".",".",".",".",".","1.8",".",".","."
"","270
002","55","3.836","80.0","12.7","3.6","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","111","3.805","74.8","15.3","4.5","3.6","0.9",".",".",".",".",".",".",".","0.9",".",".","."
"","271
001","33","3.682","60.6","30.3","3.0","3.0",".","3.0",".",".",".",".",".",".",".",".",".","."
"","271
002","13","3.731","76.9","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","46","3.696","65.2","23.9","4.3","2.2","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"","303
001","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","16","3.733","68.8",".","25.0",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"Intro to Real-Time DSP","Course Total","33","3.719","63.6","12.1","21.2",".",".",".",".",".",".",".",".",".",".","3.0",".","."
"","001
313","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
005","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
006","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","82","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
001","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
003","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"Sensors Laboratory","Course Total","28","3.907","85.7","3.6","7.1",".",".",".",".",".",".",".",".",".",".","3.6",".","."
"Electrodynamics II","320
001","35","2.853","51.4",".","5.7","5.7","11.4","17.1","5.7","2.9",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","73","3.160","30.1","19.2","20.5","12.3","15.1","1.4",".",".",".",".",".",".","1.4",".",".","."
"Intro-Random Sig Anal&Stats","331
001","45","2.600","15.6","6.7","22.2","15.6","28.9","11.1",".",".",".",".",".",".",".",".",".","."
"","340
001","52","3.558","53.8","13.5","26.9","1.9","3.8",".",".",".",".",".",".",".",".",".",".","."
"","340
002","65","2.892","27.7","13.8","20.0","10.8","18.5","6.2","3.1",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","Page 126 of 467",""
