"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"305
Fundamentals-Nuclear Engr","001","","21","3.294","38.1","9.5","14.3","9.5","4.8","4.8",".","19.0",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","12","3.208","33.3","8.3","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","18","3.389","22.2","50.0","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"428
Nuclear Reactor Laboratory","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"433
Principles of Corrosion","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"536
Power-Thermonuclear Fusion","001","","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"541
Radiation Damage in Metals","001","","14","3.462","28.6","28.6","35.7",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"550
Adv Nuclear Power Engr","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"569
Health Phys and Bio Effects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"705
Advanced Reactor Theory","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","11","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","6","",".",".",".",".",".",".",".","66.7","33.3",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","34","",".",".",".",".",".",".",".","67.6","5.9",".",".","26.5",".",".",".","."
"903
Spec Topics-Plasma Physics","001","","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
