"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","5","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","23","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","29","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","384","3.131","33.1","19.3","22.4","8.3","12.5","4.2","0.3",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","20","4.000","5.0",".",".",".",".",".",".","90.0","",".",".","",".","",".","",".",".","5.0","."
"Professionals","404","3.131","31.7","18.3","21.3","7.9","11.9","4.0","0.2","4.5","",".",".","",".","",".","",".",".","0.2","."
