"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"462
Medical Instrumentation","001","","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Intro to Tissue Engineering","001","","48","3.729","60.4","27.1","10.4","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"511
Tissue Engineering Laboratory","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","42","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"535
Intro to Energy-Tissue Interac","001","","12","3.500","25.0","50.0","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"550
Intro to Biolog & Med Microsys","001","","31","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Biochemical Engineering","001","","18","3.147","44.4","16.7","16.7",".","5.6",".","11.1",".",".",".",".",".","5.6",".",".","."
"573
Med Img Sci:Math & Cncpt Fndtn","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"602","003","","25","3.958","92.0",".","4.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"602","004","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","34","3.913","88.2","2.9","5.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"615
Tissue Mechanics","001","","22","3.705","54.5","36.4","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","34","4.000","97.1",".",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"670
Heart Biology and Regeneration","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Seminar-Biomedical Engineering","001","","55","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"702
Grad Cooperative Educ Program","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"703
Rsp Cndct of Rsrch Biomed Engr","001","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Methods Quantitative Biology","001","","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","126","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","140","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","141","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","18","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
