"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Sports Communication","150","001","118","3.983","97.5","1.7","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162","001","59","3.947","88.1","6.8","1.7",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","162","099","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media in Multicultrl Amer","","Course Total","70","3.949","88.6","7.1","1.4",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Gender & Sexuality Mass Comm","163","001","34","3.824","70.6","26.5",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201","001","251","3.649","59.0","22.7","12.4","4.4","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Mass Communication Practices","202","001","117","3.603","43.6","35.0","19.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Information for Communication","203","001","117","3.748","54.7","41.0","3.4","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"","335","001","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","004","17","3.688","58.8","23.5","5.9",".","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Principles/Practices-Reporting","","Course Total","66","3.854","75.8","19.7","1.5",".","1.5",".",".",".",".",".",".",".","1.5",".",".","."
"","345","001","49","3.939","91.8","4.1","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345","002","49","3.796","71.4","20.4","6.1",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Principles & Pract Strat Comm","","Course Total","98","3.867","81.6","12.2","5.1",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Sports Mrkting Communications","350","001","30","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401","001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405","001","13","3.692","53.8","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Design","411","001","20","3.600","35.0","50.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazine Publishing","417","001","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Campaign Messages","445","001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Account Planning & Strategy","449","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Media Strategies","463","001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of U.S. Media","560","001","52","3.784","67.3","21.2","7.7","1.9",".",".",".",".",".",".",".",".","1.9",".",".","."
"Mass Communication&Society","561","001","52","3.538","32.7","46.2","19.2",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Media and the Consumer","564","001","99","3.879","77.8","20.2","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium Prof Comm Careers","601","001","60","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","617","001","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617","002","21","3.762","71.4","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","","Course Total","34","3.750","67.6","17.6","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618","001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","620","001","21","3.738","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622","001","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622","002","19","3.868","89.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"The Impact of Emerging Media","","Course Total","41","3.902","87.8","9.8",".",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658","001","19","3.861","73.7","15.8","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669","001","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","676","059","74","3.899","91.9","4.1","1.4",".","1.4","1.4",".",".",".",".",".",".",".",".",".","."
