"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"PUBLIC AFFAIRS & PUBLIC POLI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Contemp Public Policy Issues","200
001","","114","3.393","29.8","43.0","9.6","9.6","5.3",".","0.9","0.9",".",".",".",".","0.9",".",".","."
"Intro to Health Policy in U.S.","201
001","","47","3.383","29.8","38.3","17.0","8.5","6.4",".",".",".",".",".",".",".",".",".",".","."
"","240
001","","29","3.655","55.2","41.4",".",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","002
240","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
003","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence-Based Policy Making","Course Total","","51","3.676","52.9","41.2","3.9",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"Priv & Public Sector in Policy","270
001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Leadership","278
001","","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"What Works in Health Policy","281
001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
380","","28","3.500","35.7","39.3","14.3","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
380","","31","3.952","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Public Policy","Course Total","","59","3.737","66.1","20.3","8.5","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Inequality, Race & Publ Policy","520
001","","25","3.600","68.0","24.0",".",".",".","4.0","4.0",".",".",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","799
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Affr Prof Devlpmnt Workshp","800
001","","48","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809
001","","20","3.789","55.0","40.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intro Stat Meths-Pub Pol Anal","818
001","","42","3.463","45.2","19.0","19.0","9.5","4.8",".",".",".",".",".",".",".","2.4",".",".","."
"Administrative Internship","827
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"International Governance","850
001","","19","3.789","57.9","42.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Policy-Making Process","874
001","","39","3.487","35.9","35.9","20.5","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"Microecon Policy Analysis","001
880","","46","3.700","58.7","21.7","15.2","2.2",".",".",".",".",".",".",".",".","2.2",".",".","."
"","881
001","","13","3.308","30.8","15.4","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","002
881","","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","Course Total","","25","3.460","44.0","20.0","28.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Compartve&Natnl Social Policy","888
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
004","","16","3.900","87.5",".",".","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Topics in Public Affairs","Course Total","","40","3.962","95.0",".",".","2.5",".",".",".",".",".",".",".",".","2.5",".",".","."
