"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDIE Section","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","",""
"101
001","14","3.786","64.3","28.6","7.1",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"002
101","12","3.625","58.3","25.0","8.3",".","","8.3","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Course Total
Heritage and Values I","26","3.712","61.5","26.9","7.7","",".","3.8","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"201
001","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"201
002","9","3.944","88.9","11.1",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Course Total
Team, Leadrshp Fundamentals I","11","3.955","90.9","9.1",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"301
001
Leadng People, Effectve Comm I","8","3.875","87.5",".","12.5",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"401
001
National Security Affairs","14","4.000","100.0",".",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"501
001
Leadership Laboratory I","58","",".",".",".",".","",".","",".","",".","100.0",".","",".",".","",".","",".","",".",".","."
"A F AERO
Dept. Total
102","117","3.893","40.2","6.8","2.6","",".","0.9","",".","",".","49.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","30","3.900","40.0","10.0",".","",".",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Sophomore","26","3.750","38.5","11.5",".","",".","3.8","",".","",".","46.2","",".",".","",".","",".","",".",".",".","."
"Junior","12","4.000","50.0",".",".","",".",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Senior","39","3.923","41.0",".","5.1","",".",".","",".","",".","53.8","",".",".","",".","",".","",".",".",".","."
"Undergraduates","107","3.905","41.1","5.6","1.9","",".","0.9","",".","",".","50.5","",".",".","",".","",".","",".",".",".","."
"Special","10","3.750","30.0","20.0","10.0","",".",".","",".","",".","40.0","",".",".","",".","",".","",".",".",".","."
"Dept. Total","117","3.893","40.2","6.8","2.6","",".","0.9","",".","",".","49.6","",".",".","",".","",".","",".",".",".","."
