"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Economic Decision Analysis","421","001","29","3.190","37.9","13.8","24.1","10.3","6.9","6.9",".",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441","001","43","3.023","23.3","27.9","20.9","9.3","9.3","7.0","2.3",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455","001","101","3.172","23.8","32.7","23.8","6.9","6.9","5.9",".",".",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458","001","45","3.844","80.0","8.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Macroeconomics","461","001","46","3.144","19.6","23.9","23.9","26.1","4.3",".",".",".",".",".",".",".","2.2",".",".","."
"International Trade","464","001","74","2.995","20.3","13.5","33.8","14.9","8.1","4.1","1.4",".",".",".",".",".",".","4.1",".","."
"Intl Industrial Organizations","467","001","32","3.125","25.0","18.8","31.3","12.5","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468","001","48","3.120","41.7","14.6","6.3","8.3","20.8",".","4.2",".",".",".",".",".","4.2",".",".","."
"Economics of Growth","475","001","42","3.452","45.2","26.2","11.9","7.1","9.5",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521","002","52","3.442","34.6","32.7","21.2","9.6","1.9",".",".",".",".",".",".",".",".",".",".","."
"Law and Economics","522","001","94","2.915","17.0","23.4","24.5","10.6","20.2","1.1","3.2",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","21","3.143","19.0","23.8","42.9","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","27","3.260","18.5","37.0","25.9","3.7","3.7","3.7",".",".",".",".",".",".","7.4",".",".","."
"","581","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Mathematics for Economists","700","001","75","3.623","44.0","33.3","20.0",".",".",".",".",".",".",".",".",".",".","2.7",".","."
"Microeconomics I","701","001","71","3.558","38.0","32.4","26.8",".",".",".",".",".",".",".",".",".",".","2.8",".","."
"Mathematical Economics I","703","001","28","3.768","60.7","32.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704","001","73","3.408","27.4","24.7","45.2",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"","704","002","24","3.417","20.8","41.7","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics I","","Course Total","97","3.411","25.8","28.9","43.3",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Econometrics II","705","001","25","3.460","28.0","36.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics III","706","001","75","3.777","61.3","30.7","6.7",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"Microeconomics II","708","001","25","3.640","48.0","32.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics I","709","001","69","3.534","37.7","29.0","31.9",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","711","001","44","3.419","29.5","27.3","36.4","4.5",".",".",".","2.3",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","712","001","42","3.268","16.7","26.2","47.6","7.1",".",".",".","2.4",".",".",".",".",".",".",".","."
"Econometric Methods","715","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Microeconomics","721","001","18","3.639","55.6","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
