"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","226
002","24","3.771","66.7","25.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","004
226","23","3.870","87.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
226","22","3.659","50.0","31.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
007","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
008","22","3.523","40.9","31.8","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","226
010","24","3.563","58.3","20.8","16.7",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","226
011","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
226","24","3.542","66.7","16.7","8.3",".",".","4.2","4.2",".",".",".",".",".",".",".",".","."
"","014
226","21","3.714","66.7","14.3","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","226
015","24","3.542","54.2","20.8","16.7","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"","226
017","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
019","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
020","22","2.932","36.4","18.2","9.1","13.6","9.1","4.5","9.1",".",".",".",".",".",".",".",".","."
"","226
021","21","3.810","81.0","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","226
022","22","3.895","77.3",".","9.1",".",".",".",".",".",".",".",".",".","4.5","9.1",".","."
"Interm Lang Prac-","Course Total","366","3.723","71.6","14.2","8.2","2.5","0.8","0.8","1.1",".",".",".",".",".","0.3","0.5",".","."
"","001
311","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","17","3.735","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
311","15","3.367","26.7","33.3","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","311
004","14","3.214","21.4","21.4","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","311
005","19","3.684","68.4","5.3","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
311","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
007","18","3.722","83.3","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","311
008","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
009","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","151","3.672","62.9","17.2","15.2","3.3","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","319
001","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
003","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","31","3.806","71.0","19.4","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","14","3.464","42.9","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","20","3.425","40.0","20.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","34","3.441","41.2","20.6","26.5","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Structure of Modern Spanish","321
001","20","3.275","50.0","10.0","20.0","5.0","5.0","10.0",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","001
322","30","3.650","63.3","10.0","23.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","325
001","23","3.826","95.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","325
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","47","3.915","97.9",".",".",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"","326
001","25","3.680","60.0","24.0","12.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","326
002","16","3.219","31.3","6.3","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","41","3.500","48.8","17.1","24.4","4.9","4.9",".",".",".",".",".",".",".",".",".",".","."
"","329
001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","329
002","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","Page 350 of 467",""
