"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","601
002","24","3.729","62.5","25.0","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","003
601","24","3.729","70.8","16.7","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","601
004","24","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
005","23","3.717","65.2","21.7","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","006
601","21","3.310","38.1","4.8","42.9","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","007
601","24","3.563","62.5","16.7","8.3","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","601
008","25","3.958","88.0","8.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","601
010","22","3.545","72.7","4.5","9.1","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","212","3.710","68.4","16.0","8.5","2.8","2.4","0.5","0.5",".",".",".",".",".","0.9",".",".","."
"","607
001","25","3.660","56.0","20.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","607
002","24","3.500","33.3","37.5","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Psychotherapy","Course Total","49","3.582","44.9","28.6","24.5","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Design&Anlys-Psych Expermnts I","610
001","27","3.833","66.7","18.5",".","3.7",".",".",".",".",".",".",".",".","11.1",".",".","."
"Neuropharmacology","612
001","23","3.477","52.2","4.3","26.1","8.7","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"","621
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
006","7","3.913","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
007","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
008","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
009","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
010","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
014","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
015","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
017","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
023","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
039","16","3.971","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
040","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","621
044","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
045","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
061","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
065","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"","621
072","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
075","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
099","5","***","","","","","","","","","",".",".",".",".",".",".","."
