"EDUCATIONAL POLICY STUDIES Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"Hist:The Univ in the West","107","001","13","3.650","46.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".","23.1",".","."
"Introduction to Education","140","001","29","3.948","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","150","002","14","3.769","57.1","28.6","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Race,Ethnicty&Inequal-Am Ed","200","001","43","3.953","90.7","9.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Careers in Education","202","001","27","3.667","66.7","7.4","11.1",".",".",".","3.7",".",".",".",".",".","7.4","3.7",".","."
"","210","001","97","3.892","92.8","4.1",".","1.0",".","1.0","1.0",".",".",".",".",".",".",".",".","."
"","210","002","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Youth, Education, and Society","","Course Total","124","3.915","94.4","3.2",".","0.8",".","0.8","0.8",".",".",".",".",".",".",".",".","."
"Human Rights and Education","220","001","49","3.857","85.7","12.2",".",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"","240","001","61","3.959","93.4","4.9","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240","002","21","3.762","90.5",".","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Comparative Education","","Course Total","82","3.909","92.7","3.7","2.4",".",".",".","1.2",".",".",".",".",".",".",".",".","."
"","300","001","18","3.941","88.9",".","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","300","002","94","3.848","89.4","2.1","3.2",".","1.1",".","2.1",".",".",".",".",".","2.1",".",".","."
"","300","003","85","3.940","96.5",".","1.2",".",".",".","1.2",".",".",".",".",".","1.2",".",".","."
"School and Society","","Course Total","197","3.896","92.4","1.0","2.5",".","0.5",".","1.5",".",".",".",".",".","2.0",".",".","."
"Democracy and Education","305","001","47","3.989","95.7","2.1",".",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"","320","001","42","3.927","85.7","9.5","2.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"","320","002","37","3.792","78.4","8.1","5.4",".","5.4",".",".",".",".",".",".",".","2.7",".",".","."
"Climate Chng, Sustain, and Ed","","Course Total","79","3.864","82.3","8.9","3.8",".","2.5",".",".",".",".",".",".",".","2.5",".",".","."
"Globalization and Education","335","001","39","3.500","48.7","25.6","17.9","2.6","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","399","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","3","***","","","","","","","","","","","","","","","",""
"History-American Education","412","001","108","3.687","56.5","35.2","4.6","0.9",".",".","1.9",".",".",".",".",".","0.9",".",".","."
"Topics on Soc Issues and Ed","500","001","18","3.971","88.9","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Qual Research Methods in Ed","501","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Urban Education","505","001","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Law and Public Education","542","001","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education Policy and Practice","575","001","29","3.500","65.5","13.8","6.9","3.4","3.4","3.4","3.4",".",".",".",".",".",".",".",".","."
"Lang Politics & Ed","595","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Comparatv & Intl Educ","675","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Ed Policy Studies","701","001","8","",".",".",".",".",".",".",".",".",".","75.0",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765","001","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Educ Policy","780","002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
