"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","644
002","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Dev. Disabilities","Course Total","24","3.524","66.7","8.3","16.7","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","646
001","16","3.594","62.5","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","675
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology-SWPract. in MH","712
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
002","16","3.781","75.0","18.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","741
010","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","42","3.905","88.1","9.5",".",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","19","3.553","15.8","78.9","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","746
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","746
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","5","***","","","","","","","","","","","","","","","",""
"","799
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","800
001","12","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"","800
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
003","13","3.700","69.2",".",".",".",".","7.7",".",".",".",".",".",".","23.1",".",".","."
"","800
004","13","3.808","84.6",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","800
005","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
016","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
101","13","4.000","76.9",".",".",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"","800
103","12","3.959","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","800
104","12","4.000","58.3",".",".",".",".",".",".",".",".",".",".",".","41.7",".",".","."
"","800
105","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Field Prac/Integrat Smr III","Course Total","129","3.917","79.1","4.7","1.6","0.8",".","0.8",".",".",".",".",".",".","13.2",".",".","."
"Soc Work Prac in Schools I","815
030","35","4.000","94.3",".",".",".",".",".",".",".",".",".",".",".","5.7",".",".","."
"SW Pract. in Aging & MH","821
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Law: Marriage & Divorce","822
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","835
001","23","3.826","78.3","8.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
002","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
010","10","3.450","70.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","835
011","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","64","3.797","78.1","12.5","7.8",".",".",".","1.6",".",".",".",".",".",".",".",".","."
