"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"Shakespeare","162
001","220","3.647","65.0","17.3","7.3","5.9","0.9","0.9","1.4","0.9",".",".",".",".",".",".",".","0.5"
"British and American Writers","167
001","30","3.286","20.0","23.3","40.0","10.0",".",".",".",".",".",".",".",".","6.7",".",".","."
"","172
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","172
002","10","3.550","60.0","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Literatures of Native America","Course Total","15","3.300","60.0","20.0",".",".","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Ethnic and Multicultural Lit","173
001","29","3.679","34.5","62.1",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","174
001","15","2.857","33.3","6.7","26.7","6.7",".","13.3","6.7",".",".",".",".",".",".",".",".","6.7"
"","002
174","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","174
003","18","3.361","16.7","38.9","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","174
004","27","3.407","40.7","29.6","14.8","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Literature and Social Justice","Course Total","90","3.483","50.0","21.1","18.9","3.3","1.1","3.3","1.1",".",".",".",".",".",".",".",".","1.1"
"Lit & the Other Disciplines","175
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Literature and Film","176
001","216","3.684","57.4","31.5","7.4",".","2.3",".","0.9",".",".",".",".",".","0.5",".",".","."
"","177
003","28","3.857","89.3",".","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","177
004","30","3.167","10.0","63.3","10.0","10.0",".",".","6.7",".",".",".",".",".",".",".",".","."
"","005
177","30","3.250","3.3","70.0","13.3","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Literature and Popular Culture","Course Total","88","3.415","33.0","45.5","10.2","5.7","2.3","1.1","2.3",".",".",".",".",".",".",".",".","."
"Digital Media, Lit, Culture","178
001","19","3.722","63.2","21.1",".","10.5",".",".",".",".",".",".",".",".","5.3",".",".","."
"","182
001","18","3.611","61.1","33.3",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","182
002","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literature for Honors","Course Total","38","3.684","55.3","42.1",".",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"","201
001","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
005","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
201","19","3.842","89.5",".","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","201
008","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","90","3.922","91.1","4.4","3.3",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"","207
001","16","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","207
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
207","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
004","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
005","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
006","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
007","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","207
008","16","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Creative Writing","Course Total","126","3.877","91.3","2.4","3.2",".","2.4",".","0.8",".",".",".",".",".",".",".",".","."
"The English Language","214
001","90","3.617","62.2","14.4","15.6","4.4","1.1","2.2",".",".",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223
001","36","3.889","80.6","16.7","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Culture I","241
001","135","3.406","39.3","31.9","16.3","3.7","3.7","1.5","2.2",".",".",".",".",".","1.5",".",".","."
"Literature and Culture II","242
001","104","3.726","70.2","15.4","9.6","2.9",".","1.9",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","Page 237 of 467",""
