"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"","101
001","","16","2.767","31.3","18.8","6.3",".","25.0",".","12.5",".",".",".",".",".","6.3",".",".","."
"","002
101","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","10","2.625","20.0","20.0",".",".","30.0",".","10.0",".",".",".",".",".","20.0",".",".","."
"","101
004","","9","2.214","11.1","11.1","11.1","22.2",".",".","22.2",".",".",".",".",".","22.2",".",".","."
"1st Semester Russian","Course Total","","41","2.750","24.4","19.5","9.8","4.9","17.1",".","12.2",".",".",".",".",".","12.2",".",".","."
"1st Semester Polish","111
001","","18","3.611","72.2","11.1","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"First Semester Czech","115
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","203
001","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Russian","Course Total","","17","3.706","64.7","23.5",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Polish","207
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"History & Ethics Film: Polish","231
001","","20","3.472","40.0","20.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".","10.0",".","."
"Literature and Revolution","238
001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
001","","22","3.500","68.2","13.6",".","4.5","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","245
003","","27","3.880","81.5",".","11.1",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"Topics-Slavic Literatures","Course Total","","49","3.702","75.5","6.1","6.1","2.0","4.1",".","2.0","4.1",".",".",".",".",".",".",".","."
"Third Year Russian I","275
001","","13","3.650","46.2","7.7","23.1",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"Third Year Polish I","277
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Intensive Polish","301
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"5th Sem Intensive Polish","305
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Lang & Culture I","315
001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian I","321
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Polish I","331
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Intensive Czech","351
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Russian Culture","433
001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr:Russian Lit&Cultr","560
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Realism","707
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Proseminar-Slavic Lit & Cult","800
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods-Teachng Slavic Lang","804
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"College Teaching of Russian","820
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Slavic Lit & Culture","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","991
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 339 of 467",""
