"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","61","3.634","55.7","16.4","11.5","4.9","3.3",".",".",".",".",".",".",".",".",".","8.2","."
"154
Antibiotic Discovery Research","001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"261
Sustainable Turf Management","001","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"262
Turfgrass Management Lab","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Intro to Plant Pathology","001","","50","3.410","38.0","28.0","18.0","10.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"311
Global Food Security","001","","169","3.682","63.3","20.7","10.7","2.4","0.6","1.2","0.6",".",".",".",".",".","0.6",".",".","."
"323
Soil Biology","001","","15","3.467","53.3","20.0","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499
Ind Study - Organic Agr","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"517
Plant Disease Resistance","001","","10","3.476","30.0","20.0","20.0",".","10.0",".",".","20.0",".",".",".",".",".",".",".","."
"590","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Plant Pathology","Course Total","","4","***","","","","","","","","","","","","","","","",""
"602
Ecol&Epidemiol-Plt Diseases","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Gen Virology-Multiplication","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Biology and Genetics of Fungi","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Plant Pathology Tchg","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923
Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 36 of 467"
