"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","301
007","36","3.181","19.4","33.3","27.8","2.8","16.7",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","270","3.276","24.8","25.6","35.9","8.1","5.2","0.4",".",".",".",".",".",".",".",".",".","."
"","302
001","28","3.241","10.7","39.3","35.7","7.1","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"","302
002","39","3.372","28.2","33.3","25.6","10.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","67","3.318","20.9","35.8","29.9","9.0","3.0",".",".",".",".",".",".",".","1.5",".",".","."
"","310
001","17","3.412","52.9","11.8","17.6",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"","002
310","33","3.318","33.3","27.3","21.2","12.1","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","50","3.350","40.0","22.0","20.0","8.0","8.0","2.0",".",".",".",".",".",".",".",".",".","."
"","340
001","22","3.045","13.6","27.3","31.8","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","002
340","33","3.348","33.3","18.2","33.3","15.2",".",".",".",".",".",".",".",".",".",".",".","."
"","340
003","35","3.286","37.1","17.1","22.9","11.4","11.4",".",".",".",".",".",".",".",".",".",".","."
"","004
340","33","3.364","30.3","24.2","33.3","12.1",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","123","3.280","30.1","21.1","30.1","13.8","4.1","0.8",".",".",".",".",".",".",".",".",".","."
"","406
001","21","3.452","33.3","28.6","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","406
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","25","3.460","32.0","32.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","28","3.661","46.4","39.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","27","3.556","40.7","29.6","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
003","25","3.750","64.0","16.0","16.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","80","3.652","50.0","28.8","20.0",".",".",".",".","1.3",".",".",".",".",".",".",".","."
"","620
001","45","3.378","31.1","26.7","31.1","8.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"","620
002","37","3.324","16.2","48.6","24.3","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","82","3.354","24.4","36.6","28.0","7.3","3.7",".",".",".",".",".",".",".",".",".",".","."
"","621
001","26","3.231","26.9","11.5","42.3","19.2",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","29","3.155","17.2","17.2","44.8","20.7",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","55","3.191","21.8","14.5","43.6","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","40","3.538","45.0","20.0","32.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","34","3.750","67.6","17.6","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","74","3.635","55.4","18.9","23.0","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","700
020","35","3.429","22.9","40.0","37.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
021","36","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","62","3.685","45.2","46.8","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","133","3.605","37.6","45.9","16.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","7","3.417","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","702
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","5","***","","","","","","","","","","","","","","","",""
"","706
001","13","3.346","23.1","23.1","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","30","3.650","56.7","16.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 52 of 467"
