"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"352
Interdis Expr Dsgn Projects II","001","","52","3.798","73.1","21.2",".","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"361","001","","68","3.346","52.9","17.6","10.3","1.5","10.3","5.9","1.5",".",".",".",".",".",".",".",".","."
"361","002","","68","3.294","39.7","25.0","10.3","13.2","7.4","4.4",".",".",".",".",".",".",".",".",".","."
"361","003","","51","3.412","45.1","19.6","23.5","3.9","3.9","3.9",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","","187","3.345","46.0","20.9","13.9","6.4","7.5","4.8","0.5",".",".",".",".",".",".",".",".","."
"363","001","","51","3.529","49.0","25.5","11.8","9.8","3.9",".",".",".",".",".",".",".",".",".",".","."
"363","002","","53","3.585","47.2","28.3","20.8","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"363","003","","46","2.641","17.4","19.6","23.9","8.7","10.9","10.9","8.7",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","","150","3.277","38.7","24.7","18.7","6.7","5.3","3.3","2.7",".",".",".",".",".",".",".",".","."
"364
Elementary Heat Transfer","001","","138","3.239","20.3","23.9","44.2","6.5","5.1",".",".",".",".",".",".",".",".",".",".","."
"368
Engr Measure & Instrumentation","001","","111","3.459","45.0","19.8","23.4","9.0","0.9","1.8",".",".",".",".",".",".",".",".",".","."
"370
Energy Systems Laboratory","001","","62","3.089","19.4","16.1","35.5","21.0","8.1",".",".",".",".",".",".",".",".",".",".","."
"414
Orthopaedic Biomechanics","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"415
Biomechanics of Human Movement","001","","9","3.688","55.6","22.2",".","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"417
Transport in Polymer Proc","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"418
Engr Design with Polymers","001","","57","3.772","66.7","26.3","3.5","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"419
Fundamentals-Injection Molding","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Stat Expermntl Design","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"439
Introduction to Robotics","001","","27","3.574","37.0","44.4","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"440
Intermediate Vibrations","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"445
Mechatronics Cntrl Rlztn","001","","16","3.188","31.3",".","56.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"446
Automatic Controls","003","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Internal Combustion Engines","001","","42","3.643","59.5","23.8","7.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"471
Gas Turbine and Jet Propulsion","001","","21","3.595","52.4","28.6","4.8","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"489","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"491","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"491","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
