"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","657
001","58","3.741","58.6","36.2","1.7","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"","657
002","59","3.585","49.2","35.6","3.4","6.8","5.1",".",".",".",".",".",".",".",".",".",".","."
"","003
657","75","3.733","54.7","36.0","5.3",".","1.3",".",".",".",".",".",".",".","2.7",".",".","."
"","657
004","62","3.419","30.6","45.2","17.7","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","254","3.623","48.4","38.2","7.1","2.8","2.0",".","0.8",".",".",".",".",".","0.8",".",".","."
"","665
001","19","3.658","63.2","21.1","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","665
002","44","3.511","56.8","13.6","13.6","11.4","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","Course Total","63","3.556","58.7","15.9","11.1","9.5","3.2","1.6",".",".",".",".",".",".",".",".",".","."
"","699
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Grad Spec Topics-Consumer Sci","901
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Fam Economic Policy","930
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
024","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","10","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
"Independent Study","999
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CNSR SCI
271","Dept. Total","2580","3.622","59.2","24.0","8.8","4.0","2.2","0.5","0.5","0.5",".",".",".","0.2","0.2",".",".","."
