"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","59","3.845","72.9","20.3","5.1",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"Asian American Movement","121
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit & Culture of Asian America","150
001","132","3.760","70.5","13.6","3.0","3.8","0.8","0.8","0.8",".",".",".",".",".","6.1","0.8",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","151","3.698","70.9","15.9","4.6","4.0","0.7","0.7","2.0",".",".",".",".",".",".",".",".","1.3"
"Hmong American Experiences","170
001","40","3.725","80.0","10.0","2.5",".","5.0",".","2.5",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","17","3.294","41.2","35.3","11.8",".",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"","240
001","34","3.882","79.4","17.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","34","3.838","79.4","14.7",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","004
240","36","3.486","38.9","36.1","13.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","240
005","34","3.456","41.2","20.6","29.4","5.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","240
007","34","3.939","85.3","11.8",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","240
008","35","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","Course Total","207","3.752","68.1","19.3","7.7","2.9","1.4",".",".","0.5",".",".",".",".",".",".",".","."
"Afro Asian Improv","319
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Asian Americans and Media","420
001","15","3.500","33.3","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Asian American Lit","462
001","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"ASIAN AM
184","Dept. Total","651","3.720","67.9","18.9","5.8","2.9","1.1","0.5","0.9","0.2",".",".",".",".","1.4","0.2",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","124","3.574","63.7","19.4","7.3","4.0","1.6",".","4.0",".",".",".",".",".",".",".",".","."
"Sophomore","","224","3.809","73.7","17.9","3.6","2.2","0.9","0.4",".",".",".",".",".",".","0.9","0.4",".","."
"Junior","","166","3.722","66.3","18.1","7.8","2.4","1.2","0.6","0.6",".",".",".",".",".","1.8",".",".","1.2"
"Senior","","132","3.716","63.6","22.0","6.1","3.8","0.8","0.8",".",".",".",".",".",".","3.0",".",".","."
"Undergraduates","","646","3.719","67.8","19.0","5.9","2.9","1.1","0.5","0.9",".",".",".",".",".","1.4","0.2",".","0.3"
"Special","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","651","3.720","67.9","18.9","5.8","2.9","1.1","0.5","0.9","0.2",".",".",".",".","1.4","0.2",".","0.3"
