"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101
001","168","3.183","16.1","32.1","20.2","6.0","7.7","1.2","1.2","15.5",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102
001","142","3.642","61.3","22.5","7.0","3.5","2.8","2.1",".",".",".",".",".",".","0.7",".",".","."
"Intro-E Asian History:China","103
001","35","3.468","37.1","31.4","11.4","5.7",".",".","2.9","11.4",".",".",".",".",".",".",".","."
"Intro-E Asian History:Japan","104
001","38","3.286","28.9","7.9","26.3","7.9",".",".","2.6",".",".",".",".",".",".","26.3",".","."
"Intro-History of Africa","001
105","38","3.757","76.3","10.5","5.3",".","2.6","2.6",".","2.6",".",".",".",".",".",".",".","."
"Hist:The Univ in the West","107
001","13","3.462","61.5","7.7",".","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Medieval Europe 410-1500","115
001","71","3.064","18.3","31.0","23.9","12.7","7.0","2.8","2.8",".",".",".",".",".","1.4",".",".","."
"Europe & the World, 1400-1815","119
001","73","3.910","80.8","6.8","2.7","1.4",".",".",".","8.2",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120
001","144","3.367","19.4","45.1","19.4","8.3",".","0.7","0.7","6.3",".",".",".",".",".",".",".","."
"Intro to World History","130
001","75","3.435","49.3","21.3","9.3","2.7","2.7","4.0","2.7","6.7",".",".",".",".","1.3",".",".","."
"Women in World History","134
001","19","3.474","36.8","31.6","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Sport, Rec., & Society in U.S.","136
001","138","3.600","52.9","32.6","5.8","0.7","2.9","1.4","1.4","2.2",".",".",".",".",".",".",".","."
"Intro to Modern Middle East","139
001","82","3.711","43.9","24.4","8.5","1.2",".",".",".","19.5",".",".",".",".","2.4",".",".","."
"History-S Asia to Present","142
001","39","3.894","76.9","2.6","2.6",".","2.6",".",".","15.4",".",".",".",".",".",".",".","."
"The N. American West to 1850","151
001","57","3.732","70.2","17.5","5.3",".","3.5","1.8",".",".",".",".",".",".",".",".",".","1.8"
"Asian Am Hist:Movmnt&Dislocatn","160
001","90","3.864","77.8","3.3","5.6","3.3",".",".",".","8.9",".",".",".",".",".",".",".","1.1"
"","200
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
002","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
003","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"","200
004","15","3.567","26.7","66.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","200
006","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
008","14","3.231","21.4","28.6","35.7",".",".","7.1",".",".",".",".",".",".","7.1",".",".","."
"","200
009","43","3.595","72.1","7.0","7.0","7.0",".",".","4.7","2.3",".",".",".",".",".",".",".","."
"","200
010","51","3.520","68.6","5.9","7.8","7.8","5.9","2.0","2.0",".",".",".",".",".",".",".",".","."
"","200
011","50","3.739","74.0","10.0",".","2.0","2.0","4.0",".","2.0",".",".",".",".",".","6.0",".","."
"","200
012","68","3.396","63.2","10.3","4.4","2.9","10.3","4.4","2.9","1.5",".",".",".",".",".",".",".","."
"Historical Studies","Course Total","307","3.689","69.7","11.4","5.2","3.6","3.6","2.3","1.6","1.0",".",".",".",".","0.3","1.0",".","0.3"
"","201
001","58","3.570","44.8","31.0","15.5","5.2","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"","201
004","38","3.853","65.8","21.1","2.6",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"","201
005","14","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
201","14","3.321","64.3","7.1","14.3",".",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"","201
009","13","3.667","38.5","46.2","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","201
010","13","3.417","61.5","7.7","7.7","7.7",".",".","7.7",".",".",".",".",".",".","7.7",".","."
"","201
011","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
012","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
014","40","3.551","37.5","35.0","22.5","2.5",".",".",".",".",".",".",".",".","2.5",".",".","."
"","201
015","14","3.393","28.6","28.6","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","201
016","15","3.167","73.3","6.7",".",".",".",".","20.0",".",".",".",".",".",".",".",".","."
"","201
017","11","3.182","36.4","18.2","36.4",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"The Historian's Craft","Course Total","256","3.558","48.4","27.3","15.6","2.3","0.4","0.4","2.3",".",".",".",".",".","2.7","0.4",".","."
