"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"415
Thermal Physics","001","","35","3.386","28.6","34.3","22.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"448
Atomic and Quantum Physics","001","","34","3.265","29.4","8.8","50.0","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"499","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"501
Radiation Physics & Dosimetry","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"531
Intro to Quantum Mechanics","001","","16","3.700","56.3","18.8","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"545
Intro to Atomic Structure","001","","16","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Solid State Physics","001","","27","3.574","40.7","33.3","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"625
Applied Optics","001","","18","3.824","66.7","22.2","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","001","","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"701","002","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Introductory Seminars","Course Total","","65","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"709
Intro to Quantum Computing","001","","37","3.457","35.1","21.6","32.4","5.4",".",".",".","2.7",".",".",".",".",".","2.7",".","."
"711
Theoreticl Physics-Dynamics","001","","25","3.740","60.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Theor Physics-Electrodynmcs","001","","31","3.339","32.3","32.3","22.6","9.7",".",".","3.2",".",".",".",".",".",".",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Quantum Mechanics","001","","60","3.543","35.0","38.3","20.0","3.3",".",".",".","1.7",".",".",".",".","1.7",".",".","."
"735
Particle Physics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"772
High Energy Astrophysics","001","","26","3.596","23.1","73.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.932","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 319 of 467",""
