"Senior Honors Thesis","Course Total","7","",".",".",".",".",".","",".",".","",".","",".",".","",".","85.7","",".",".","14.3","."
"","682
001","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","682
002","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","","","","","","",""
"INTER-AG
494","Dept. Total","228","3.911","90.4","2.2","1.8","0.4","0.9","",".","0.9","",".","",".",".","",".","2.6","",".",".","0.4","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","108","3.846","88.9","4.6","1.9",".","1.9","",".","1.9","",".","",".",".","",".",".","",".",".",".","0.9"
"Sophomore","","84","3.958","96.4",".","2.4","1.2",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Junior","","12","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","24","4.000","70.8",".",".",".",".","",".",".","",".","",".",".","",".","25.0","",".",".","4.2","."
"Undergraduates","","228","3.911","90.4","2.2","1.8","0.4","0.9","",".","0.9","",".","",".",".","",".","2.6","",".",".","0.4","0.4"
"","Dept. Total","228","3.911","90.4","2.2","1.8","0.4","0.9","",".","0.9","",".","",".",".","",".","2.6","",".",".","0.4","0.4"
