"Greek Comedy","520
001","","14","3.893","85.7","7.1","7.1",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","699
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
022","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","",""
"GREEK
428","Dept. Total","","32","3.495","59.4","12.5","18.8","",".","9.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","7","3.146","28.6","14.3","42.9","",".","14.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","17","3.185","35.3","11.8","35.3","",".","17.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","15","3.932","86.7","13.3",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","32","3.495","59.4","12.5","18.8","",".","9.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
