"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
002","26","3.260","34.6","15.4","23.1","19.2",".","3.8",".",".",".",".",".",".","3.8",".",".","."
"","101
003","21","3.857","81.0","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","20","3.700","65.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","21","3.524","52.4","14.3","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","19","3.684","73.7","5.3","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
007","22","3.432","40.9","27.3","22.7","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","129","3.563","56.6","15.5","15.5","9.3","0.8","1.6",".",".",".",".",".",".","0.8",".",".","."
"","102
001","26","3.673","50.0","38.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","21","3.762","66.7","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","47","3.713","57.4","31.9","6.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","17","3.412","41.2","23.5","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","28","3.607","57.1","21.4","10.7","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Italian Language","311
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Literature & Culture I","321
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Structures of Italian","340
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Machiavelli and His World","365
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","452
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The 13th Century","671
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Features in Italian Literature","731
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","990
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
