"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"E P D","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","20","3.950","90.0","10.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","38","3.934","92.1","5.3",".","2.6",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","33","3.970","97.0",".","3.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","92","3.951","93.5","4.3","1.1","1.1",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","","18","3.434","38.9","33.3","5.6","11.1","5.6","",".",".","5.6","",".",".","",".","",".",".",".",".","."
"Graduate","","326","3.796","72.4","19.9","4.6","0.6","0.9","",".","0.3","0.3","",".",".","",".","",".","0.9",".",".","."
"","Dept. Total","436","3.811","75.5","17.2","3.9","1.1","0.9","",".","0.2","0.5","",".",".","",".","",".","0.7",".",".","."
