"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","541","001","","32","3.063","34.4","9.4","25.0","15.6","9.4","3.1","3.1",".",".",".",".",".",".",".",".","."
"","541","002","","34","3.162","41.2","20.6",".","23.5","5.9","8.8",".",".",".",".",".",".",".",".",".","."
"","541","003","","11","2.773","18.2","18.2","27.3","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","77","3.065","35.1","15.6","14.3","18.2","9.1","5.2","2.6",".",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","28","3.036","32.1","7.1","35.7",".","17.9","7.1",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","43","3.337","46.5","7.0","30.2",".","16.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Set Theory","570","001","","18","2.889","33.3","11.1","27.8",".","5.6","22.2",".",".",".",".",".",".",".",".",".","."
"Analysis of PDE","619","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis III","621","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","623","001","","23","3.381","34.8","34.8","8.7",".","8.7","4.3",".",".",".",".",".",".",".","4.3",".","4.3"
"","632","001","","21","3.429","47.6","14.3","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","632","002","","27","3.385","33.3","40.7","7.4","3.7","7.4","3.7",".",".",".",".",".",".","3.7",".",".","."
"Intro-Stochastic Processes","","Course Total","","48","3.404","39.6","29.2","12.5","8.3","6.3","2.1",".",".",".",".",".",".","2.1",".",".","."
"","698","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","175","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math 1","703","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","34","3.956","94.1","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Computation Methods","717","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Partial Differential Equations","719","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Crse in Real Analysis","721","001","","34","3.364","29.4","23.5","38.2",".","5.9",".",".","2.9",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Optimization II","730","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Probability I","733","001","","25","3.340","32.0","24.0","28.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Analysis","735","001","","20","4.000","90.0",".",".",".",".",".",".","5.0",".",".",".",".",".","5.0",".","."
"Abstract Algebra","741","001","","30","3.550","53.3","3.3","43.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Number Theory","748","001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","763","001","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","765","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Mathematics","770","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Real Analysis","821","001","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Adv Topics-Complex Analysis","823","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourier Analysis","827","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Applied Algebra","842","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Automorphic Forms","849","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Algebraic Topology","853","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 296 of 467",""
