"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Sm Animal Emrgncy&Crit Care II","577
001","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","90","2.972","13.3","10.0","53.3","4.4","18.9",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","90","2.742","5.6","12.2","44.4","7.8","25.6","2.2","1.1",".",".",".",".",".","1.1",".",".","."
"Small Animal Neurology","667
001","14","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","12","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","21","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","670
001","45","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","670
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","50","4.000","64.0",".",".",".",".",".",".","36.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","35","4.000","68.6",".",".",".",".",".",".","31.4",".",".",".",".",".",".",".","."
"","675
003","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","18","",".",".",".",".",".",".",".","88.9",".",".",".",".","11.1",".",".","."
"","675
005","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
008","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","675
014","7","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"","675
027","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
057","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","115","4.000","53.0",".",".",".",".",".",".","44.3",".",".",".",".","1.7",".","0.9","."
"","678
001","57","4.000","42.1",".",".",".",".",".",".","57.9",".",".",".",".",".",".",".","."
"","678
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","62","4.000","43.5",".",".",".",".",".",".","56.5",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","18","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
060","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
135","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","34","4.000","52.9",".",".",".",".",".",".","47.1",".",".",".",".",".",".",".","."
"Production Medicine I","701
001","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Production Medicine II","703
001","9","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"SA Emergency Medicine","710
001","32","4.000","31.3",".",".",".",".",".",".","68.8",".",".",".",".",".",".",".","."
"Primary Care","714
001","46","4.000","69.6",".",".",".",".",".",".","30.4",".",".",".",".",".",".",".","."
"","716
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","716
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SA WisCARES","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
