"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","101
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Chem I Laboratory","Course Total","4","***","","","","","","","","","","","","","","","",""
"","102
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Chem II Laboratory","Course Total","2","***","","","","","","","","","","","","","","","",""
"","103
001","304","2.942","25.3","14.1","24.7","12.5","14.8","7.6","0.7",".",".",".",".",".","0.3",".",".","."
"","103
002","316","2.952","25.9","13.0","26.9","9.8","17.7","4.4","1.9",".",".",".",".",".","0.3",".",".","."
"","103
003","322","2.998","27.0","13.4","26.4","11.8","15.5","4.3","1.2",".",".",".",".",".","0.3",".",".","."
"","103
004","320","2.984","27.8","14.4","25.0","11.3","13.1","5.6","2.2",".",".",".",".",".","0.6",".",".","."
"","103
005","307","2.902","27.0","12.7","22.8","11.4","16.6","7.5","2.0",".",".",".",".",".",".",".",".","."
"","103
006","324","2.886","24.1","13.0","24.7","10.5","19.4","7.7","0.6",".",".",".",".",".",".",".",".","."
"","007
103","314","3.053","26.1","16.2","28.3","10.8","14.0","2.9","1.3",".",".",".",".",".","0.3",".",".","."
"","103
008","276","2.960","28.6","11.2","27.2","8.3","15.6","6.5","1.8",".",".",".",".",".","0.7",".",".","."
"General Chemistry I","Course Total","2483","2.960","26.5","13.5","25.7","10.8","15.9","5.8","1.4",".",".",".",".",".","0.3",".",".","."
"","104
001","226","2.856","23.9","13.7","24.3","12.4","15.0","8.0","2.7",".",".",".",".",".",".",".",".","."
"","104
002","227","2.859","23.3","12.8","25.1","12.3","14.5","7.5","2.6",".",".",".",".",".","1.8",".",".","."
"General Chemistry II","Course Total","453","2.857","23.6","13.2","24.7","12.4","14.8","7.7","2.6",".",".",".",".",".","0.9",".",".","."
"General Chemistry II","106
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","109
001","243","3.372","44.9","18.5","19.3","9.1","4.9","2.5","0.8",".",".",".",".",".",".",".",".","."
"","109
002","220","3.445","47.3","22.3","15.5","9.5","2.3","2.7","0.5",".",".",".",".",".",".",".",".","."
"","109
003","58","3.842","82.8","5.2","5.2","5.2",".",".",".",".",".",".",".",".","1.7",".",".","."
"Advanced General Chemistry","Course Total","521","3.455","50.1","18.6","16.1","8.8","3.3","2.3","0.6",".",".",".",".",".","0.2",".",".","."
"Chemical Principles I","115
001","34","3.662","58.8","17.6","20.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Topics in Chemistry","175
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entering Research I","260
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
153","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
157","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Across the Periodic Table","001
311","37","2.875","18.9","10.8","24.3","24.3","16.2",".","2.7","2.7",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","327
001","83","3.108","31.3","12.0","26.5","14.5","12.0","3.6",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","329
001","94","3.287","25.5","36.2","16.0","14.9","7.4",".",".",".",".",".",".",".",".",".",".","."
"Elementary Organic Chemistry","341
001","188","2.840","23.4","3.7","27.7","6.4","35.6","1.1",".","1.1",".",".",".",".","0.5","0.5",".","."
