"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","127","3.362","30.7","32.3","25.2","7.1","3.1","0.8","0.8",".",".","",".",".","",".","",".","",".",".","."
"","002
200","73","3.430","32.9","32.9","21.9","4.1","5.5",".",".","1.4",".","",".",".","",".","",".","",".","1.4","."
"International Business","Course Total","200","3.386","31.5","32.5","24.0","6.0","4.0","0.5","0.5","0.5","",".",".","",".","",".","",".",".","0.5","."
"Prof Comm&Cultr in Franc World","313
001","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intercultural Communctn in Bus","320
001","22","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Spanish for Business","329
002","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","403
001","20","3.675","60.0","25.0","5.0","10.0",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","403
002","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Global Issues in Management","Course Total","38","3.789","73.7","15.8","5.3","5.3",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Global Marketing Strategy","420
001","20","3.725","45.0","55.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","445
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"INTL BUS
235","Dept. Total","291","3.529","45.4","28.2","17.5","4.8","2.7","0.3","0.3","0.3","",".",".","",".","",".","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","55","3.236","21.8","34.5","29.1","5.5","7.3",".","1.8",".","",".",".","",".","",".","",".",".",".","."
"Junior","","90","3.461","37.8","34.4","16.7","6.7","3.3","1.1",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","122","3.731","63.1","22.1","11.5","1.6","0.8",".",".","0.8","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","267","3.538","46.1","28.8","16.9","4.1","3.0","0.4","0.4","0.4","",".",".","",".","",".","",".",".",".","."
"Special","","22","3.381","31.8","22.7","27.3","13.6",".",".",".",".","",".",".","",".","",".","",".",".","4.5","."
"Graduate","","2","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","291","3.529","45.4","28.2","17.5","4.8","2.7","0.3","0.3","0.3","",".",".","",".","",".","",".",".","0.3","."
