"L&S","","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"HISTORY
448","Dept. Total","3223","3.595","51.2","19.1","9.1","3.0","1.9","0.9","1.2","10.6","",".","0.5","",".","0.5","1.4","0.5","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","570","3.524","50.5","26.3","13.2","4.4","1.9","1.4","1.4",".","",".",".","",".",".","0.5",".",".","0.4"
"Sophomore","","768","3.588","56.1","24.0","11.7","3.6","1.3","1.2","1.3",".","",".",".","",".",".","0.5","0.1",".","0.1"
"Junior","","622","3.522","54.2","21.9","10.5","4.3","3.2","1.0","2.4","0.2","",".",".","",".",".","2.1","0.2",".","0.2"
"Senior","","721","3.682","63.2","18.7","8.0","2.2","2.5","0.7","0.8","0.3","",".",".","",".","1.4","1.7","0.3","0.1","."
"Undergraduates","","2681","3.580","56.4","22.6","10.7","3.6","2.2","1.0","1.5","0.1","",".",".","",".","0.4","1.2","0.1","0.0","0.1"
"Special","","350","3.644","9.7","2.0","0.6","0.3","0.6",".","0.3","83.1","",".",".","",".",".","0.3","3.1",".","."
"Graduate","","191","3.972","53.4","1.0","1.0",".",".",".",".","25.1","",".","8.9","",".","2.6","6.3",".","1.6","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3223","3.595","51.2","19.1","9.1","3.0","1.9","0.9","1.2","10.6","",".","0.5","",".","0.5","1.4","0.5","0.1","0.1"
