"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","84","3.549","70.2","7.1","9.5",".","4.8","2.4","3.6","2.4",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","154","3.454","57.8","5.8","20.1","3.2","9.7","1.3","0.6","1.3",".",".",".",".",".",".",".","."
"Storytelling on Stage","105
001","49","3.633","55.1","16.3","12.2","6.1","2.0",".",".","6.1",".",".",".",".","2.0",".",".","."
"","113
001","671","3.789","86.3","5.4","1.5","2.2","1.8","1.3","1.5",".",".",".",".",".",".",".",".","."
"","113
002","666","3.874","91.6","2.4","2.1","0.9","1.1","1.4","0.5",".",".",".",".",".",".","0.2",".","."
"","003
113","650","3.806","88.5","3.2","2.3","1.4","1.8","0.8","1.8","0.2",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","1987","3.823","88.8","3.7","2.0","1.5","1.6","1.2","1.3","0.1",".",".",".",".",".","0.1",".","."
"","121
001","31","3.081","25.8","22.6","25.8","6.5","12.9","6.5",".",".",".",".",".",".",".",".",".","."
"","121
002","30","3.417","36.7","16.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","61","3.246","31.1","19.7","32.8","6.6","6.6","3.3",".",".",".",".",".",".",".",".",".","."
"","151
001","36","3.597","72.2","13.9","5.6",".",".","5.6","2.8",".",".",".",".",".",".",".",".","."
"","151
002","59","3.689","67.8","8.5","5.1","3.4","3.4",".","1.7","10.2",".",".",".",".",".",".",".","."
"","004
151","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","119","3.695","70.6","12.6","5.0","1.7","1.7","1.7","1.7","5.0",".",".",".",".",".",".",".","."
"","171
101","16","3.406","37.5","25.0","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
171","15","3.433","40.0","26.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
171","15","3.267","46.7","20.0","13.3","6.7",".","13.3",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","61","3.410","39.3","27.9","19.7","8.2","1.6","3.3",".",".",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","211
001","33","3.563","75.8","6.1","3.0",".","6.1",".","6.1",".",".",".",".",".","3.0",".",".","."
"Musica Practica 3","221
001","26","3.712","76.9","11.5","7.7",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Conducting","253
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
060","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
060","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","260
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Hand Drumming","Course Total","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
050","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
064","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
098","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
102","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
196","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","39","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
049","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
035","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
089","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","Page 304 of 467",""
