"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Actuarial Science Methods II","301
001","","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","303
001","","23","3.217","47.8","17.4","4.3","8.7","17.4",".","4.3",".",".",".",".",".",".",".",".","."
"","002
303","","17","2.971","17.6","23.5","35.3","5.9","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"Theory of Interest","Course Total","","40","3.113","35.0","20.0","17.5","7.5","12.5","5.0","2.5",".",".",".",".",".",".",".",".","."
"Reading and Research","399
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","650
001","","27","3.241","29.6","29.6","14.8","18.5","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"","002
650","","29","2.879","10.3","37.9","10.3","20.7","10.3","10.3",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","Course Total","","56","3.054","19.6","33.9","12.5","19.6","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","001
652","","21","3.119","14.3","33.3","33.3","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","652
002","","33","3.212","45.5","12.1","15.2","12.1","9.1","3.0","3.0",".",".",".",".",".",".",".",".","."
"","652
099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Loss Models I","Course Total","","55","3.118","32.7","20.0","21.8","10.9","7.3","3.6","3.6",".",".",".",".",".",".",".",".","."
"Loss Models II","653
001","","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","","26","3.154","26.9","11.5","38.5","11.5","11.5",".",".",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","232","3.139","24.6","19.4","17.2","9.9","6.9","3.4","1.3",".",".","17.2",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","***","","","","","","","","","","50.0",".",".",".",".",".","."
"Sophomore","","","29","3.467","27.6","10.3","3.4","3.4","6.9",".",".",".",".","48.3",".",".",".",".",".","."
"Junior","","","65","3.104","27.7","7.7","15.4","10.8","6.2","6.2",".",".",".","26.2",".",".",".",".",".","."
"Senior","","","128","3.134","23.4","26.6","21.1","11.7","7.0","3.1","1.6",".",".","5.5",".",".",".",".",".","."
"Undergraduates","","","226","3.149","24.8","19.0","16.8","10.2","7.1","3.5","0.9",".",".","17.7",".",".",".",".",".","."
"Special","","","6","2.833","16.7","33.3","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","Dept. Total","","232","3.139","24.6","19.4","17.2","9.9","6.9","3.4","1.3",".",".","17.2",".",".",".",".",".","."
