"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","35","3.671","51.4","37.1","5.7","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","110","3.794","77.3","10.9","8.2","0.9","0.9",".","0.9",".",".",".",".",".","0.9",".",".","."
"","002
301","113","3.823","82.3","8.8","5.3","1.8","0.9",".","0.9",".",".",".",".",".",".",".",".","."
"","301
003","108","3.954","92.6","5.6","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"How People Learn","Course Total","331","3.856","84.0","8.5","5.1","0.9","0.6",".","0.6",".",".",".",".",".","0.3",".",".","."
"Human Dev-Infancy&Childhood","320
001","161","3.666","70.8","13.7","5.6","4.3","1.9","1.9","1.2",".",".",".",".",".",".",".","0.6","."
"Human Develop-Adolescence","321
001","87","3.241","28.7","28.7","21.8","12.6","5.7",".","2.3",".",".",".",".",".",".",".",".","."
"Mind, Brain and Education","326
001","145","3.615","58.6","27.6","4.1","4.8","1.4","0.7","2.1",".",".",".",".",".","0.7",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","93","3.516","52.7","21.5","14.0","6.5","3.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"","470
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
029","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
047","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
077","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Thinking and Learning","501
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","506
009","21","3.857","85.7","9.5",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","48","3.938","93.8","4.2",".",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Thinking, Feeling, & Learning","533
001","19","3.972","89.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Intro to Prof School Psych","540
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Quant&Qual Research Methods","560
001","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Instructional Design for LA","575
001","17","4.000","82.4",".",".",".",".",".",".",".",".",".",".",".","17.6",".",".","."
"Conversations & Visualizations","615
001","17","4.000","82.4",".",".",".",".",".",".",".",".",".",".",".","17.6",".",".","."
"","621
001","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
621","24","3.896","87.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol Dev in Educ Contexts","Course Total","71","3.930","90.1","5.6","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment Analysis","642
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
