"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","99","2.778","27.3","9.1","14.1","15.2","25.3","6.1","3.0",".",".",".",".",".",".",".",".","."
"","101
002","116","2.600","18.1","8.6","21.6","12.1","23.3","13.8","1.7","0.9",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","215","2.682","22.3","8.8","18.1","13.5","24.2","10.2","2.3","0.5",".",".",".",".",".",".",".","."
"","102
001","6","3.250","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","7","2.857","14.3","14.3","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","004
102","7","3.286","42.9","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
008","8","3.125","25.0","12.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
009","6","3.333","50.0","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
010","6","2.583","16.7","33.3",".","16.7",".","33.3",".",".",".",".",".",".",".",".",".","."
"","102
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
013","7","3.000","14.3","14.3","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","9","3.000","22.2","22.2","11.1","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"","102
015","6","3.333","50.0","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","016
102","7","3.000","14.3","14.3","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
017","7","2.857","42.9",".","28.6",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","102
018","7","2.500","14.3","14.3","28.6",".","14.3","28.6",".",".",".",".",".",".",".",".",".","."
"","102
019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
020","6","2.917","33.3","33.3",".","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","109","3.028","27.5","20.2","21.1","11.0","12.8","5.5","1.8",".",".",".",".",".",".",".",".","."
"","151
001","63","3.048","25.4","20.6","28.6","4.8","15.9","1.6","3.2",".",".",".",".",".",".",".",".","."
"","151
002","65","2.946","29.2","4.6","30.8","12.3","16.9","4.6","1.5",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","128","2.996","27.3","12.5","29.7","8.6","16.4","3.1","2.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","152
001","132","3.212","33.3","12.1","37.1","3.8","8.3","3.0","0.8",".",".",".",".",".","1.5",".",".","."
"","153
001","27","3.463","44.4","14.8","29.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","153
002","25","3.140","24.0","20.0","40.0",".","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","52","3.308","34.6","17.3","34.6","5.8","5.8","1.9",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","260
001","49","3.194","30.6","20.4","24.5","10.2","12.2","2.0",".",".",".",".",".",".",".",".",".","."
"","299
018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
076","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","8.3",".","8.3","."
"Introduction to Entomology","302
001","9","3.111","33.3","22.2","11.1",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","92","3.216","37.0","14.1","26.1","5.4","7.6","3.3","2.2",".",".",".",".",".",".",".","4.3","."
"","316
002","24","3.833","95.8",".",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","316
003","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","Page 363 of 467",""
