"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"","711
001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","711
002","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","711
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
017","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","","46","4.000","95.7",".",".",".",".",".",".","2.2",".",".",".",".","2.2",".",".","."
"Intro to Qualitative Research","719
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Development","720
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","","21","3.825","66.7","23.8","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Regression Models in Education","763
001","","26","3.870","76.9","7.7",".",".","3.8",".",".",".",".",".",".",".","11.5",".",".","."
"Human-Computer Interaction","770
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Test Construction","771
001","","12","3.955","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MSPE Capstone","791
001","","24","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Intro to Learning Sciences I","795
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Surveys/Quant Data Collection","827
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
006","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
011","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
012","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","","64","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in Human Dev","925
001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","943
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","943
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Res and Meas in School Psych","948
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Bayesian Statistics","965
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 98 of 467"
