"MARKETING","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","",""
"Marketing Strategy","","Course Total","","106","3.698","57.5","29.2","8.5","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","700","020","","35","3.486","22.9","51.4","25.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","021","","36","3.389","16.7","44.4","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","050","","61","3.689","49.2","39.3","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","","Course Total","","132","3.553","33.3","43.9","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710","001","","38","3.645","31.6","65.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715","001","","30","3.550","33.3","43.3","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722","001","","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Strategy","726","001","","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","730","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing in a Digital Age","755","001","","39","3.962","94.9","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","002","","33","3.712","69.7","12.1","12.1","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Marketing","840","001","","38","3.961","94.7","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","138","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","","Course Total","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
