"DANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"","211
002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Dance Tech & Th III","Course Total","","27","3.807","77.8","7.4","7.4","3.7",".",".",".",".",".",".",".",".","3.7",".",".","."
"New Movement Techniques","213
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","225
001","","12","3.750","83.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","225
002","","14","3.958","78.6","7.1",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","225
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet Technique II","Course Total","","27","3.716","77.8","3.7","3.7",".","3.7",".","3.7","7.4",".",".",".",".",".",".",".","."
"Intro-Dance/Movemnt Therapy","231
001","","30","3.817","93.3",".",".","3.3",".",".","3.3",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Arts Perform Lab","259
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance History I","265
001","","25","3.958","88.0","8.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"Pol&Cult Perspectives in Dance","268
001","","88","3.773","77.3","10.2","4.5","2.3","2.3",".","1.1","1.1",".",".",".",".","1.1",".",".","."
"","311
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th V","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Afro Asian Improv","319
001","","8","3.714","75.0",".",".",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"Ballet Technique III","325
001","","9","3.933","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Functional Anat Mvmt Practices","330
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","341
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Composition II","355
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Teaching I","376
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","451
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","451
006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Repertory Theater","Course Total","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Studies in the Arts","Course Total","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Teaching II","476
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
