"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"990","120","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","192","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","227","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","240","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","261","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","262","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","268","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","270","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","299","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","45","",".",".",".",".",".",".",".","86.7",".",".",".","13.3",".",".",".","."
"992","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
